NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,20210401 EMT1 d20 2021-04-01 15-28-16.nano,
Operator Name,MG,
Time Captured,15:28:16  01/04/2021,
Sample Description,d20,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,20210401 EMT1 d20 2021-04-01 15-28-42,20210401 EMT1 d20 2021-04-01 15-29-55,20210401 EMT1 d20 2021-04-01 15-31-08,20210401 EMT1 d20 2021-04-01 15-32-21,20210401 EMT1 d20 2021-04-01 15-33-34,
,,,,,,
[Conditions],,,,,,
Temperature/C,26.173,26.228,26.281,26.332,26.381,
Viscosity/cP,0.865438,0.864372,0.863346,0.862361,0.861417,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,16.5484,16.1513,17.3245,16.6078,16.7984,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),6.72e+08,8.68e+08,1.06e+09,9.29e+08,1.04e+09,9.13e+08,6.97e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,90.8,117.3,134.6,120.9,133.2,119.4,7.9,
Centres per frame,117.4,137.1,160.7,143.6,149.5,141.7,7.2,
Completed tracks,22669,26671,31858,28622,29859,,,
X-Drift (pix/frame),3.1,3.2,3.2,3.2,3.3,,,
Y-Drift (pix/frame),-0.0,0.0,-0.0,0.0,-0.0,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,Noise detected,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,Noise detected,No,No,No,No,
Vibration detected,No,No,No,No,No,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,20210401 EMT1 d20 2021-04-01 15-28-42,20210401 EMT1 d20 2021-04-01 15-29-55,20210401 EMT1 d20 2021-04-01 15-31-08,20210401 EMT1 d20 2021-04-01 15-32-21,20210401 EMT1 d20 2021-04-01 15-33-34,Average,Standard Error,
Mean,94.7,95.6,84.1,92.8,84.9,90.4,2.5,
Mode,64.3,60.6,60.6,59.9,60.1,61.1,0.8,
SD,56.9,53.9,55.1,72.4,40.0,55.7,5.1,
D10,52.2,55.9,45.6,51.3,50.4,51.1,1.7,
D50,79.7,79.7,71.0,72.5,73.3,75.2,1.9,
D90,147.1,151.0,128.6,142.9,127.2,139.3,4.9,
Valid Tracks,5111.0,6175.0,6699.0,6465.0,6974.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,65,0,13,13,
16.5,0,0,0,1184,0,237,237,
17.5,0,0,3,6536,0,1308,1307,
18.5,0,0,28,15372,0,3080,3073,
19.5,0,0,178,20468,0,4129,4085,
20.5,2,0,869,19381,0,4051,3836,
21.5,13,1,3355,15552,0,3784,3013,
22.5,60,26,10618,12019,0,4545,2774,
23.5,224,325,28399,9755,9,7742,5487,
24.5,720,2272,65881,8763,76,15542,12679,
25.5,2027,10003,135483,8935,464,31382,26092,
26.5,5089,30351,251599,10393,2163,59919,48172,
27.5,11554,68641,428593,13665,7973,106085,81399,
28.5,24026,123676,678686,19945,24018,174070,127664,
29.5,46240,187725,1010346,31558,60846,267343,187818,
30.5,83095,251343,1427507,52750,132981,389535,261690,
31.5,140453,308090,1929571,90791,256439,545069,348310,
32.5,224700,356086,2511953,157132,445064,738987,446064,
33.5,342079,397019,3166848,267928,707389,976252,552739,
34.5,497931,434417,3884005,442861,1045387,1260920,665639,
35.5,695982,472367,4651405,701452,1455405,1595322,781923,
36.5,937870,514911,5455858,1057398,1930530,1979314,899104,
37.5,1223011,565955,6283606,1513237,2463299,2409822,1015414,
38.5,1548834,629462,7120969,2058408,3047864,2881108,1129733,
39.5,1911289,709773,7955061,2672295,3681199,3385924,1241165,
40.5,2305474,812002,8774513,3331042,4363327,3917271,1348629,
41.5,2726223,942478,9570105,4014974,5096767,4470109,1450778,
42.5,3168511,1109271,10335215,4713665,5885465,5042425,1546184,
43.5,3627645,1322811,11065979,5427476,6733425,5635467,1633548,
44.5,4099270,1596600,11761160,6166140,7643226,6253279,1711735,
45.5,4579257,1948013,12421736,6945755,8614595,6901871,1779600,
46.5,5063577,2399066,13050274,7785344,9643181,7588288,1835714,
47.5,5548254,2976946,13650192,8703610,10719704,8319741,1878131,
48.5,6029412,3713921,14224985,9715976,11829644,9102788,1904392,
49.5,6503442,4645992,14777501,10831781,12953560,9942455,1911997,
50.5,6967214,5809479,15309324,12051523,14068079,10841124,1899576,
51.5,7418266,7234665,15820301,13364223,15147430,11796977,1868913,
52.5,7854894,8936043,16308247,14745253,16165322,12801952,1827586,
53.5,8276059,10899782,16768852,16155229,17096881,13839361,1790922,
54.5,8681109,13070987,17195797,17540674,17920386,14881791,1780236,
55.5,9069333,15345424,17581101,18837061,18618612,15890306,1813951,
56.5,9439403,17571572,17915679,19974459,19179683,16816159,1894165,
57.5,9788830,19567293,18190089,20885315,19597476,17605800,2000198,
58.5,10113530,21150497,18395397,21513230,19871617,18208854,2096497,
59.5,10407637,22176402,18524084,21820995,20007183,18587260,2147852,
60.5,10663645,22569179,18570879,21796098,20014161,18722792,2131671,
61.5,10872947,22336535,18533415,21452383,19906705,18620397,2043465,
62.5,11026754,21562510,18412631,20827491,19702191,18306315,1896192,
63.5,11117295,20382669,18212844,19976781,19420112,17821940,1715516,
64.5,11139121,18952000,17941521,18965242,19080832,17215743,1533069,
65.5,11090275,17416213,17608762,17859196,18704304,16535750,1379020,
66.5,10973087,15893121,17226600,16719339,18308832,15824196,1274352,
67.5,10794395,14465373,16808193,15596043,17909994,15114800,1224744,
68.5,10565142,13182015,16367014,14527125,17519806,14432220,1220715,
69.5,10299419,12064950,15916111,13537730,17146172,13792876,1245146,
70.5,10013134,11116870,15467491,12641704,16792659,13206372,1281713,
71.5,9722579,10328495,15031654,11843763,16458572,12677013,1318769,
72.5,9443117,9684178,14617273,11141898,16139340,12205161,1349274,
