NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,EMT1 d200 2021-04-01 15-42-48.nano,
Operator Name,MG,
Time Captured,15:42:48  01/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,EMT1 d200 2021-04-01 15-43-10,EMT1 d200 2021-04-01 15-44-24,EMT1 d200 2021-04-01 15-45-37,EMT1 d200 2021-04-01 15-46-51,EMT1 d200 2021-04-01 15-48-05,
,,,,,,
[Conditions],,,,,,
Temperature/C,26.677,26.747,26.788,26.805,26.845,
Viscosity/cP,0.855745,0.854413,0.853634,0.853312,0.852553,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,15.4129,16.9359,15.8479,16.4460,16.6567,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.08e+08,2.47e+08,1.84e+08,2.19e+08,2.20e+08,2.16e+08,1.01e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,22.7,25.2,20.1,22.0,21.6,22.3,0.8,
Centres per frame,24.3,27.2,21.7,23.7,23.3,24.0,0.9,
Completed tracks,4204,4806,3733,4330,4239,,,
X-Drift (pix/frame),3.2,3.3,3.2,3.2,3.1,,,
Y-Drift (pix/frame),-0.0,-0.0,-0.0,-0.0,0.0,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Minor vibration,No,Minor vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,No,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,EMT1 d200 2021-04-01 15-43-10,EMT1 d200 2021-04-01 15-44-24,EMT1 d200 2021-04-01 15-45-37,EMT1 d200 2021-04-01 15-46-51,EMT1 d200 2021-04-01 15-48-05,Average,Standard Error,
Mean,92.0,86.0,91.9,84.4,85.4,87.9,1.7,
Mode,61.5,62.0,63.9,63.7,57.4,61.7,1.2,
SD,48.9,51.0,46.2,45.6,42.6,46.9,1.4,
D10,59.6,55.8,58.7,58.7,55.9,57.7,0.8,
D50,72.7,72.5,76.0,67.1,74.0,72.5,1.5,
D90,153.7,120.7,140.1,114.9,142.1,134.3,7.2,
Valid Tracks,1353.0,1591.0,1198.0,1431.0,1396.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,3,0,0,0,0,
30.5,0,0,7,0,0,1,1,
31.5,0,0,18,0,0,4,4,
32.5,0,2,45,0,0,9,9,
33.5,0,6,107,0,0,23,21,
34.5,0,25,244,0,0,54,48,
35.5,0,86,533,0,0,124,104,
36.5,0,273,1117,0,0,278,216,
37.5,0,784,2238,2,0,605,436,
38.5,0,2053,4281,9,0,1269,851,
39.5,0,4931,7813,39,0,2557,1623,
40.5,0,10970,13610,147,0,4945,3027,
41.5,0,22825,22673,499,0,9199,5532,
42.5,0,44848,36236,1530,0,16523,9904,
43.5,0,83878,55811,4262,0,28790,17355,
44.5,0,150162,83285,10809,2,48852,29723,
45.5,3,258052,121101,25039,21,80843,49601,
46.5,16,425780,172520,53140,162,130324,80298,
47.5,81,673315,241933,103742,1074,204029,125401,
48.5,390,1017625,335147,187311,6174,309330,187694,
49.5,1762,1465978,459531,315041,30662,454595,267130,
50.5,7343,2009881,623831,498004,130358,653883,357493,
51.5,27670,2623399,837436,747496,468318,940864,443635,
52.5,92516,3268082,1108896,1076916,1400281,1389338,519028,
53.5,270373,3902914,1443658,1504602,3434900,2111289,676928,
54.5,683500,4494442,1841363,2056284,6840326,3183183,1104828,
55.5,1487147,5022356,2293462,2765418,11015589,4516794,1727414,
56.5,2785826,5478910,2782189,3669263,14411532,5825544,2202167,
57.5,4517217,5864022,3281746,4798243,15533287,6798903,2221965,
58.5,6402521,6179352,3761811,6156798,14115967,7323290,1765527,
59.5,8039137,6424085,4192508,7697476,11155617,7501764,1135568,
60.5,9087508,6593724,4549308,9297587,7952848,7496195,879898,
61.5,9415353,6681825,4816403,10756077,5321187,7398169,1158385,
62.5,9110408,6683611,4987787,11828371,3476921,7217420,1484787,
63.5,8388262,6599862,5066222,12299534,2302143,6931205,1672694,
64.5,7480721,6439438,5060906,12066474,1594485,6528405,1704144,
65.5,6565650,6219425,4984803,11182662,1184155,6027339,1603860,
66.5,5747938,5962904,4852332,9836452,958782,5471682,1416310,
67.5,5071805,5695310,4677746,8276756,853321,4914987,1193491,
68.5,4542467,5440690,4474177,6730584,834935,4404571,981072,
69.5,4144705,5218929,4253186,5351871,891979,3972134,807908,
70.5,3854771,5044331,4024600,4212263,1027539,3632701,682582,
71.5,3646603,4925317,3796492,3320110,1255611,3388827,597862,
72.5,3494581,4864740,3575224,2647776,1597463,3235957,541551,
73.5,3374782,4860252,3365517,2154134,2075674,3166072,508260,
74.5,3266010,4904436,3170563,1798166,2703948,3168625,505797,
75.5,3151107,4984658,2992173,1545023,3472909,3229174,549534,
76.5,3018396,5082936,2830965,1367456,4336046,3327160,643529,
77.5,2862720,5176306,2686573,1245044,5203878,3434904,769566,
78.5,2685464,5238275,2557865,1162733,5954491,3519765,896049,
79.5,2493343,5241710,2443149,1109396,6461924,3549904,990943,
80.5,2296237,5163054,2340365,1076691,6633178,3501905,1030746,
81.5,2104755,4987027,2247252,1058269,6437402,3366941,1005713,
82.5,1928237,4710422,2161487,1049293,5913662,3152620,920748,
83.5,1773595,4343578,2080814,1046164,5155044,2879839,791949,
84.5,1645014,3908726,2003147,1046385,4278449,2576344,640668,
85.5,1544266,3435585,1926665,1048470,3393986,2269794,487783,
86.5,1471294,2955584,1849889,1051841,2584356,1982593,350297,
87.5,1424785,2496488,1771743,1056685,1897482,1729437,241226,
88.5,1402569,2078824,1691588,1063776,1349775,1517306,172133,
