NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,MPC 28 No stretch d200 2021-04-01 17-23-24.nano,
Operator Name,MG,
Time Captured,17:23:24  01/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,MPC 28 No stretch d200 2021-04-01 17-24-27,MPC 28 No stretch d200 2021-04-01 17-25-42,MPC 28 No stretch d200 2021-04-01 17-26-57,MPC 28 No stretch d200 2021-04-01 17-28-12,MPC 28 No stretch d200 2021-04-01 17-29-27,
,,,,,,
[Conditions],,,,,,
Temperature/C,26.163,26.152,26.111,26.089,26.086,
Viscosity/cP,0.865632,0.865846,0.866643,0.867071,0.867129,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,16.2381,19.4822,19.0853,18.9179,17.1583,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.20e+08,2.06e+08,1.79e+08,1.96e+08,1.97e+08,2.00e+08,6.67e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,22.7,20.7,18.9,19.4,20.7,20.5,0.7,
Centres per frame,25.2,23.0,21.1,21.5,22.8,22.7,0.7,
Completed tracks,4718,4431,3952,4156,4062,,,
X-Drift (pix/frame),6.7,7.0,6.9,7.0,6.9,,,
Y-Drift (pix/frame),-0.1,-0.1,-0.1,-0.1,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Minor vibration,Minor vibration,Minor vibration,Moderate vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MPC 28 No stretch d200 2021-04-01 17-24-27,MPC 28 No stretch d200 2021-04-01 17-25-42,MPC 28 No stretch d200 2021-04-01 17-26-57,MPC 28 No stretch d200 2021-04-01 17-28-12,MPC 28 No stretch d200 2021-04-01 17-29-27,Average,Standard Error,
Mean,84.8,78.5,83.3,81.9,82.9,82.3,1.1,
Mode,69.3,67.5,57.7,62.8,65.2,64.5,2.0,
SD,36.1,30.2,30.4,32.6,35.6,33.0,1.2,
D10,62.5,54.8,56.0,55.7,58.4,57.5,1.4,
D50,71.9,70.8,74.1,70.3,70.7,71.6,0.7,
D90,114.6,121.1,122.1,136.7,117.7,122.4,3.8,
Valid Tracks,1492.0,1353.0,1245.0,1296.0,1303.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,3,0,0,0,0,0,
23.5,0,9,0,0,0,2,2,
24.5,0,28,0,3,0,6,5,
25.5,0,81,0,7,0,17,16,
26.5,0,219,0,17,0,47,43,
27.5,0,553,0,41,0,119,109,
28.5,0,1301,0,97,0,280,256,
29.5,0,2860,0,220,0,616,563,
30.5,0,5867,0,480,0,1269,1153,
31.5,0,11236,0,1006,0,2448,2205,
32.5,0,20101,0,2020,1,4424,3939,
33.5,0,33649,0,3876,4,7506,6579,
34.5,0,52872,0,7105,11,11998,10311,
35.5,0,78348,0,12438,31,18163,15237,
36.5,0,110176,0,20819,83,26216,21373,
37.5,0,148144,0,33378,216,36348,28684,
38.5,6,192067,0,51397,551,48804,37163,
39.5,34,242180,2,76270,1362,63970,46909,
40.5,162,299432,7,109500,3254,82471,58161,
41.5,639,365609,27,152736,7445,105291,71282,
42.5,2113,443293,101,207876,16160,133909,86698,
43.5,5940,535681,372,277214,33010,170443,104803,
44.5,14427,646309,1309,363622,63060,217745,125908,
45.5,30754,778704,4364,470725,112307,279371,150216,
46.5,58432,936002,13622,603029,186574,359532,177741,
47.5,100460,1120578,39490,765936,290316,463356,207942,
48.5,158617,1333757,105452,965592,426125,597909,238921,
49.5,233320,1575645,257309,1208457,595355,774017,266703,
50.5,324156,1845101,569166,1500523,799576,1007704,286965,
