NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,MPC 28 Stretch d200 2021-04-01 18-10-15.nano,
Operator Name,MG,
Time Captured,18:10:15  01/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,MPC 28 Stretch d200 2021-04-01 18-10-51,MPC 28 Stretch d200 2021-04-01 18-12-06,MPC 28 Stretch d200 2021-04-01 18-13-20,MPC 28 Stretch d200 2021-04-01 18-14-34,MPC 28 Stretch d200 2021-04-01 18-15-48,
,,,,,,
[Conditions],,,,,,
Temperature/C,25.572,25.570,25.573,25.604,25.583,
Viscosity/cP,0.877229,0.877269,0.877209,0.876595,0.877011,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,12.0000,19.9812,16.6368,20.5216,18.5681,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,0,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),0.00e+00,1.65e+08,1.67e+08,1.64e+08,1.13e+08,1.22e+08,3.21e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,0.0,16.4,17.5,17.0,12.6,12.7,3.3,
Centres per frame,0.0,19.0,20.3,20.4,14.7,14.9,3.9,
Completed tracks,0,3779,3737,3726,2770,,,
X-Drift (pix/frame),0.0,10.3,10.1,10.2,9.0,,,
Y-Drift (pix/frame),0.0,-0.1,-0.0,-0.2,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Unreliable,OK,OK,OK,OK,
Completed Tracks,No Data,OK,OK,OK,OK,
Particles per frame,Too Low,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,Too dim,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,<100,OK,OK,OK,OK,
Concentration,Very low concentration,OK,OK,OK,OK,
Video length,Short video,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,No,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,No,Yes,Yes,Yes,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
