NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,EMT3 d200 2021-04-07 16-01-58.nano,
Operator Name,MG,
Time Captured,16:01:58  07/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,EMT3 d200 2021-04-07 16-02-27,EMT3 d200 2021-04-07 16-03-40,EMT3 d200 2021-04-07 16-04-53,EMT3 d200 2021-04-07 16-06-06,EMT3 d200 2021-04-07 16-07-19,
,,,,,,
[Conditions],,,,,,
Temperature/C,24.270,24.286,24.325,24.362,24.397,
Viscosity/cP,0.903674,0.903342,0.902531,0.901764,0.901039,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,22.3589,20.9728,20.7220,17.4582,17.4840,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.79e+08,2.19e+08,2.13e+08,1.53e+08,2.19e+08,1.97e+08,1.32e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,19.5,24.3,24.0,18.7,25.0,22.3,1.3,
Centres per frame,22.7,28.8,28.4,22.7,29.8,26.5,1.6,
Completed tracks,4282,5397,5349,3743,5173,,,
X-Drift (pix/frame),10.0,12.8,12.3,12.1,11.8,,,
Y-Drift (pix/frame),0.2,-0.3,-0.2,-0.2,-0.2,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,Be cautious of data due to noise,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,Noise detected,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,Noise detected,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
