NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,MPC28 Stretch + exercice d200 2021-04-07 16-34-21.nano,
Operator Name,MG,
Time Captured,16:34:21  07/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,MPC28 Stretch + exercice d200 2021-04-07 16-34-46,MPC28 Stretch + exercice d200 2021-04-07 16-36-00,MPC28 Stretch + exercice d200 2021-04-07 16-37-13,MPC28 Stretch + exercice d200 2021-04-07 16-38-26,MPC28 Stretch + exercice d200 2021-04-07 16-39-39,
,,,,,,
[Conditions],,,,,,
Temperature/C,24.708,24.786,24.819,24.847,24.872,
Viscosity/cP,0.894637,0.893043,0.892370,0.891799,0.891290,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,15.3828,15.3787,14.7904,22.3041,16.6676,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.09e+08,1.19e+08,1.78e+08,1.32e+08,1.78e+08,1.43e+08,1.47e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,14.2,14.5,21.1,15.8,20.1,17.2,1.5,
Centres per frame,17.6,17.2,24.8,18.6,23.1,20.3,1.5,
Completed tracks,2534,2535,3852,3063,3879,,,
X-Drift (pix/frame),8.9,9.6,9.6,10.3,10.3,,,
Y-Drift (pix/frame),0.3,-0.1,-0.1,-0.1,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,Noise detected,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,Noise detected,No,No,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,High vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
