NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,MPC28 Stretch d200 2021-04-07 16-23-43.nano,
Operator Name,MG,
Time Captured,16:23:43  07/04/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,pbs,
Remarks,,
,,
,,,,,
Filename:,MPC28 Stretch d200 2021-04-07 16-24-25,MPC28 Stretch d200 2021-04-07 16-25-38,MPC28 Stretch d200 2021-04-07 16-26-51,MPC28 Stretch d200 2021-04-07 16-28-04,MPC28 Stretch d200 2021-04-07 16-29-18,
,,,,,,
[Conditions],,,,,,
Temperature/C,24.584,24.629,24.663,24.692,24.721,
Viscosity/cP,0.897181,0.896256,0.895559,0.894964,0.894371,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Blue405,Blue405,Blue405,Blue405,Blue405,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,17.8380,16.3447,18.8964,17.6458,15.5565,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.14e+08,1.23e+08,1.65e+08,1.56e+08,1.74e+08,1.46e+08,1.19e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,13.5,14.7,21.3,18.8,21.7,18.0,1.7,
Centres per frame,16.2,18.3,24.6,21.9,25.8,21.4,1.8,
Completed tracks,2666,3003,3961,3810,4041,,,
X-Drift (pix/frame),9.1,8.7,9.9,9.3,10.8,,,
Y-Drift (pix/frame),0.1,-0.2,-0.0,-0.1,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,Be cautious of data due to noise,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,Noise detected,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,Noise detected,No,No,No,
Vibration detected,High vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,MPC28 Stretch d200 2021-04-07 16-24-25,MPC28 Stretch d200 2021-04-07 16-25-38,MPC28 Stretch d200 2021-04-07 16-26-51,MPC28 Stretch d200 2021-04-07 16-28-04,MPC28 Stretch d200 2021-04-07 16-29-18,Average,Standard Error,
Mean,114.6,112.2,108.5,103.6,105.4,108.9,2.0,
Mode,76.9,83.8,64.1,86.5,71.2,76.5,4.1,
SD,42.6,43.0,51.1,39.6,44.1,44.1,1.9,
D10,70.9,73.6,61.1,60.7,63.9,66.0,2.6,
D50,106.3,100.5,97.2,94.6,90.8,97.9,2.6,
D90,171.4,177.0,169.8,154.9,153.2,165.3,4.7,
Valid Tracks,835.0,888.0,1344.0,1145.0,1413.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,4,6,0,2,1,
18.5,3,0,17,46,0,13,9,
19.5,13,0,56,306,0,75,59,
20.5,47,0,160,1535,0,348,298,
21.5,144,0,405,5708,0,1252,1117,
22.5,383,0,929,15684,0,3399,3076,
23.5,888,0,1975,32221,0,7017,6311,
24.5,1831,0,3946,50670,0,11289,9872,
25.5,3395,0,7463,62990,0,14770,12133,
26.5,5738,0,13375,64324,0,16687,12159,
27.5,8936,0,22646,56319,0,17580,10534,
28.5,12950,5,36042,44244,0,18648,9180,
29.5,17625,33,53641,32657,0,20791,10230,
30.5,22710,188,74375,23674,0,24189,13569,
31.5,27907,842,95945,17540,0,28447,17673,
32.5,32924,3048,115356,13722,0,33010,21378,
33.5,37516,8990,129904,11603,4,37604,23904,
34.5,41521,21818,138100,10745,22,42441,24881,
35.5,44864,44072,140036,10929,100,48000,24662,
36.5,47556,75187,137095,12150,376,54473,24516,
37.5,49675,110254,131291,14602,1174,61399,25716,
38.5,51349,141830,124645,18707,3061,67918,27914,
39.5,52730,163698,118815,25162,6793,73440,29502,
40.5,53986,173572,115022,35014,13077,78134,29278,
41.5,55283,173123,114161,49737,22313,82923,27065,
42.5,56782,166132,116983,71291,34486,89135,23511,
43.5,58638,156540,124296,102111,49321,98181,20068,
44.5,61000,147366,137131,144978,66590,111413,19534,
45.5,64018,140512,156889,202724,86400,130109,24876,
46.5,67849,137024,185447,277719,109366,155481,36046,
47.5,72658,137451,225197,371211,136674,188638,51692,
48.5,78633,142117,278984,482604,170081,230484,70864,
49.5,85984,151276,349872,608925,211900,281591,92712,
50.5,94953,165148,440700,744703,264962,342093,116223,
51.5,105821,183863,553409,882448,332529,411614,140254,
52.5,118911,207343,688258,1013730,418091,489267,163763,
53.5,134598,235145,843119,1130598,525000,573692,186081,
54.5,153312,266324,1013131,1226951,655923,663128,207101,
55.5,175549,299384,1190930,1299461,812159,755496,227276,
56.5,201871,332368,1367517,1347823,992945,848505,247395,
57.5,232915,363122,1533590,1374369,1194965,939792,268215,
58.5,269391,389687,1680970,1383249,1412252,1027110,290099,
59.5,312070,410707,1803739,1379502,1636631,1108529,312805,
60.5,361771,425724,1898824,1368232,1858664,1182643,335494,
61.5,419319,435273,1965961,1354044,2068925,1248704,356922,
62.5,485483,440761,2007181,1340746,2259264,1306687,375730,
63.5,560889,444212,2026048,1331266,2423796,1357242,390725,
64.5,645897,447982,2026874,1327711,2559399,1401573,401086,
65.5,740452,454534,2014069,1331496,2665676,1441246,406455,
66.5,843921,466340,1991692,1343477,2744510,1477988,406911,
67.5,954933,485894,1963211,1364073,2799361,1513495,402863,
68.5,1071266,515818,1931424,1393356,2834516,1549276,394887,
69.5,1189806,559013,1898488,1431111,2854412,1586566,383548,
70.5,1306630,618811,1866007,1476866,2863128,1626289,369240,
71.5,1417235,699064,1835144,1529908,2864054,1669081,352084,
72.5,1516895,804105,1806725,1589291,2859717,1715347,331931,
73.5,1601132,938487,1781331,1653846,2851747,1765309,308514,
74.5,1666208,1106404,1759363,1722197,2840918,1819018,281814,
75.5,1709567,1310698,1741091,1792798,2827262,1876283,252714,
76.5,1730125,1551463,1726681,1863980,2810205,1936491,223996,
77.5,1728365,1824394,1716207,1934016,2788736,1998344,201445,
78.5,1706218,2119291,1709660,2001194,2761573,2059587,193272,
79.5,1666762,2419328,1706941,2063892,2727346,2116854,204647,
80.5,1613818,2701767,1707861,2120650,2684756,2165770,231625,
81.5,1551509,2940542,1712136,2170227,2632737,2201430,264111,
82.5,1483867,3110509,1719384,2211640,2570577,2219195,292274,
83.5,1414537,3192417,1729129,2244184,2498019,2215657,309282,
84.5,1346584,3177115,1740807,2267434,2415303,2189449,311791,
85.5,1282417,3067571,1753777,2281224,2323179,2141634,299874,
86.5,1223791,2877998,1767342,2285622,2222865,2075523,276608,
87.5,1171874,2630468,1780766,2280894,2115969,1995994,247348,
88.5,1127339,2350222,1793307,2267469,2004378,1908543,218707,
89.5,1090466,2061160,1804243,2245904,1890139,1818383,197095,
90.5,1061235,1782648,1812907,2216851,1775331,1729794,186544,
91.5,1039403,1528055,1818712,2181037,1661949,1645831,186845,
92.5,1024568,1304839,1821180,2139237,1551808,1568327,194325,
93.5,1016204,1115608,1819961,2092264,1446476,1498102,204672,
94.5,1013693,959570,1814845,2040945,1347230,1435257,214789,
95.5,1016334,833938,1805768,1986118,1255047,1379441,223014,
96.5,1023357,735033,1792805,1928609,1170608,1330083,228686,
97.5,1033925,659042,1776157,1869227,1094333,1286537,231707,
98.5,1047148,602464,1756131,1808746,1026412,1248180,232249,
99.5,1062089,562321,1733120,1747894,966857,1214456,230583,
100.5,1077789,536224,1707571,1687343,915546,1184895,226984,
101.5,1093293,522343,1679961,1627697,872268,1159113,221691,
102.5,1107683,519338,1650771,1569487,836760,1136808,214885,
103.5,1120115,526267,1620462,1513164,808741,1117750,206690,
104.5,1129857,542488,1589458,1459100,787937,1101768,197180,
105.5,1136322,567558,1558133,1407585,774099,1088739,186398,
106.5,1139094,601131,1526796,1358833,767014,1078574,174375,
107.5,1137947,642865,1495693,1312988,766510,1071201,161155,
108.5,1132841,692318,1465002,1270127,772455,1066549,146824,
109.5,1123920,748872,1434833,1230269,784747,1064528,131537,
110.5,1111483,811662,1405237,1193383,803304,1065014,115557,
111.5,1095958,879532,1376213,1159398,828046,1067829,99305,
112.5,1077866,951028,1347713,1128206,858868,1072736,83447,
113.5,1057782,1024428,1319655,1099672,895620,1079432,69064,
114.5,1036301,1097802,1291933,1073643,938066,1087549,57898,
115.5,1014002,1169111,1264424,1049946,985859,1096669,52290,
116.5,991432,1236322,1237004,1028403,1038510,1106334,53781,
117.5,969074,1297521,1209552,1008825,1095351,1116065,61320,
118.5,947346,1351026,1181963,991027,1155523,1125377,72379,
119.5,926588,1395469,1154152,974819,1217961,1133798,84906,
120.5,907064,1429847,1126062,960020,1281401,1140879,97685,
121.5,888961,1453537,1097665,946452,1344396,1146202,110037,
122.5,872397,1466288,1068967,933945,1405363,1149392,121564,
123.5,857427,1468176,1040007,922340,1462636,1150117,132005,
124.5,844048,1459558,1010854,911487,1514542,1148098,141166,
125.5,832209,1441007,981603,901249,1559481,1143110,148887,
126.5,821818,1413254,952376,891497,1596013,1134992,155030,
127.5,812745,1377145,923308,882120,1622938,1123651,159481,
128.5,804835,1333592,894545,873014,1639365,1109070,162161,
129.5,797906,1283553,866240,864089,1644756,1091309,163039,
130.5,791762,1228007,838543,855268,1638956,1070507,162138,
131.5,786193,1167943,811597,846483,1622184,1046880,159547,
132.5,780982,1104354,785534,837676,1595013,1020712,155419,
133.5,775908,1038228,760471,828799,1558316,992344,149964,
134.5,770755,970539,736507,819812,1513208,962164,143447,
135.5,765313,902236,713722,810680,1460971,930584,136168,
136.5,759383,834231,692176,801375,1402979,898029,128449,
137.5,752786,767375,671909,791874,1340633,864915,120619,
138.5,745360,702447,652944,782156,1275292,831640,112992,
139.5,736969,640129,635285,772203,1208229,798563,105848,
140.5,727507,580996,618919,761997,1140592,766002,99417,
141.5,716895,525502,603821,751523,1073380,734224,93861,
142.5,705088,473974,589953,740763,1007434,703442,89259,
143.5,692072,426619,577267,729700,943431,673818,85609,
144.5,677867,383524,565706,718317,881895,645462,82834,
145.5,662521,344674,555209,706594,823209,618441,80805,
146.5,646112,309965,545707,694513,767629,592785,79362,
147.5,628741,279224,537130,682054,715304,568491,78339,
148.5,610534,252225,529404,669198,666292,545530,77586,
149.5,591629,228712,522455,655925,620581,523860,76975,
150.5,572178,208411,516210,642220,578102,503424,76408,
151.5,552341,191046,510595,628068,538746,484159,75813,
152.5,532279,176351,505540,613458,502371,466000,75140,
153.5,512151,164075,500975,598383,468820,448881,74357,
154.5,492111,153992,496835,582843,437924,432741,73448,
155.5,472304,145905,493057,566841,409507,417523,72403,
156.5,452862,139643,489582,550389,383398,403175,71221,
157.5,433904,135069,486355,533506,359426,389652,69903,
158.5,415532,132075,483324,516220,337431,376916,68456,
159.5,397834,130582,480442,498564,317258,364936,66886,
160.5,380881,130542,477665,480583,298763,353687,65201,
161.5,364729,131930,474954,462326,281812,343150,63410,
162.5,349416,134750,472271,443851,266283,333314,61526,
163.5,334969,139022,469584,425224,252060,324172,59562,
164.5,321402,144788,466860,406513,239039,315720,57540,
165.5,308716,152102,464071,387794,227127,307962,55484,
166.5,296903,161024,461191,369144,216236,300900,53432,
167.5,285948,171613,458193,350642,206288,294537,51431,
168.5,275827,183919,455053,332366,197211,288875,49545,
169.5,266510,197967,451747,314394,188942,283912,47857,
170.5,257965,213746,448251,296800,181420,279637,46467,
171.5,250154,231194,444541,279654,174594,276028,45485,
172.5,243037,250181,440592,263020,168416,273049,45024,
173.5,236573,270491,436379,246956,162841,270648,45173,
174.5,230717,291815,431879,231511,157832,268751,45978,
175.5,225426,313740,427064,216728,153350,267262,47422,
176.5,220655,335749,421910,202639,149366,266064,49420,
177.5,216359,357230,416392,189271,145849,265020,51828,
178.5,212493,377497,410485,176638,142772,263977,54461,
179.5,209012,395824,404165,164750,140112,262773,57113,
180.5,205872,411478,397411,153607,137846,261243,59578,
181.5,203029,423776,390204,143203,135955,259234,61663,
182.5,200439,432132,382528,133526,134420,256609,63205,
183.5,198060,436100,374372,124557,133223,253262,64078,
184.5,195850,435419,365728,116276,132349,249125,64197,
185.5,193769,430034,356594,108657,131784,244168,63529,
186.5,191777,420103,346975,101670,131513,238408,62088,
187.5,189837,405982,336882,95286,131524,231902,59931,
188.5,187915,388202,326334,89473,131802,224745,57154,
189.5,185977,367426,315355,84200,132336,217059,53883,
190.5,183992,344392,303979,79434,133111,208982,50261,
191.5,181935,319868,292246,75144,134116,200662,46439,
192.5,179780,294603,280202,71301,135336,192244,42565,
193.5,177507,269279,267902,67874,136757,183864,38776,
194.5,175100,244489,255402,64838,138364,175639,35192,
195.5,172547,220715,242768,62166,140139,167667,31911,
196.5,169838,198323,230065,59834,142066,160025,29008,
197.5,166971,177562,217363,57822,144125,152769,26531,
198.5,163945,158580,204730,56110,146295,145932,24505,
199.5,160764,141438,192235,54679,148554,139534,22928,
200.5,157435,126123,179946,53516,150877,133579,21776,
201.5,153970,112570,167925,52605,153239,128062,21009,
202.5,150382,100676,156232,51935,155611,122967,20574,
203.5,146688,90315,144919,51496,157964,118276,20413,
204.5,142906,81351,134033,51279,160268,113967,20466,
205.5,139056,73644,123615,51277,162488,110016,20682,
206.5,135160,67057,113696,51483,164593,106398,21013,
207.5,131239,61463,104302,51893,166547,103089,21418,
208.5,127314,56745,95449,52502,168317,100065,21864,
209.5,123408,52798,87147,53306,169868,97305,22323,
210.5,119539,49529,79398,54303,171166,94787,22771,
211.5,115728,46859,72199,55489,172178,92491,23187,
212.5,111992,44719,65540,56862,172875,90397,23556,
213.5,108347,43051,59406,58416,173227,88490,23864,
214.5,104808,41806,53780,60149,173209,86750,24100,
215.5,101388,40942,48638,62055,172801,85165,24256,
216.5,98097,40426,43955,64126,171983,83718,24328,
217.5,94944,40229,39706,66355,170745,82396,24311,
218.5,91935,40325,35863,68732,169077,81186,24207,
219.5,89077,40693,32396,71244,166977,80077,24016,
220.5,86372,41315,29278,73876,164449,79058,23743,
221.5,83823,42170,26480,76610,161502,78117,23395,
222.5,81430,43240,23976,79426,158150,77244,22980,
223.5,79193,44504,21739,82300,154413,76430,22510,
224.5,77110,45938,19746,85206,150316,75663,21996,
225.5,75179,47516,17972,88113,145888,74934,21453,
226.5,73396,49208,16396,90990,141164,74231,20896,
227.5,71758,50979,14999,93803,136181,73544,20339,
228.5,70258,52790,13763,96513,130978,72860,19798,
229.5,68893,54597,12670,99083,125597,72168,19286,
230.5,67656,56352,11705,101474,120082,71454,18813,
231.5,66542,58008,10856,103647,114474,70705,18387,
232.5,65543,59514,10110,105561,108818,69909,18011,
233.5,64653,60820,9457,107181,103153,69053,17685,
234.5,63866,61881,8886,108472,97520,68125,17404,
235.5,63172,62655,8390,109401,91955,67115,17160,
236.5,62565,63111,7962,109943,86492,66015,16940,
237.5,62037,63223,7594,110074,81162,64818,16733,
238.5,61579,62979,7282,109778,75990,63521,16526,
239.5,61183,62375,7020,109044,70999,62124,16306,
240.5,60840,61422,6805,107870,66209,60629,16063,
241.5,60540,60140,6634,106259,61635,59041,15790,
242.5,60274,58557,6503,104220,57286,57368,15479,
243.5,60032,56714,6410,101771,53171,55620,15130,
244.5,59804,54652,6354,98937,49294,53808,14740,
245.5,59579,52420,6334,95745,45655,51947,14312,
246.5,59347,50067,6349,92232,42254,50050,13850,
247.5,59097,47640,6398,88437,39087,48132,13358,
248.5,58818,45186,6482,84402,36147,46207,12842,
249.5,58499,42746,6601,80172,33428,44289,12309,
250.5,58130,40357,6756,75795,30919,42392,11767,
251.5,57701,38051,6948,71316,28613,40526,11222,
252.5,57201,35852,7179,66784,26498,38703,10681,
253.5,56622,33781,7451,62241,24563,36932,10150,
254.5,55954,31852,7765,57732,22798,35220,9634,
255.5,55191,30075,8125,53294,21191,33575,9136,
256.5,54327,28456,8533,48963,19732,32002,8660,
257.5,53356,26998,8993,44771,18410,30505,8207,
258.5,52274,25700,9507,40745,17216,29088,7776,
259.5,51080,24560,10080,36906,16139,27753,7367,
260.5,49773,23577,10716,33272,15170,26502,6977,
261.5,48356,22745,11418,29856,14301,25335,6605,
262.5,46831,22061,12191,26667,13525,24255,6249,
263.5,45203,21520,13039,23708,12834,23261,5907,
264.5,43481,21120,13967,20981,12221,22354,5580,
265.5,41672,20858,14978,18483,11681,21534,5270,
266.5,39786,20732,16076,16209,11207,20802,4979,
267.5,37837,20740,17265,14151,10796,20158,4717,
268.5,35836,20882,18548,12300,10444,19602,4492,
269.5,33797,21160,19928,10643,10145,19135,4316,
270.5,31736,21574,21405,9169,9898,18757,4206,
271.5,29667,22128,22981,7865,9699,18468,4174,
