NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff 0302 S+E d200 2021-04-26 16-01-29.nano,
Operator Name,MG,
Time Captured,16:01:29  26/04/2021,
Sample Description,Milieu diff 0302 S+E d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff 0302 S+E d200 2021-04-26 16-01-56,Milieu diff 0302 S+E d200 2021-04-26 16-03-09,Milieu diff 0302 S+E d200 2021-04-26 16-04-22,Milieu diff 0302 S+E d200 2021-04-26 16-05-36,Milieu diff 0302 S+E d200 2021-04-26 16-06-49,
,,,,,,
[Conditions],,,,,,
Temperature/C,28.116,28.147,28.150,28.174,28.222,
Viscosity/cP,0.829011,0.828450,0.828396,0.827962,0.827095,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,19.4521,17.6077,17.0217,15.9335,18.4818,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),8.65e+07,8.56e+07,7.91e+07,1.01e+08,1.16e+08,9.37e+07,6.67e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,10.1,9.6,8.6,12.0,12.6,10.6,0.7,
Centres per frame,11.3,10.9,9.8,13.3,13.9,11.8,0.8,
Completed tracks,1946,2116,1798,2332,2530,,,
X-Drift (pix/frame),-2.3,-2.3,-2.3,-2.0,-2.3,,,
Y-Drift (pix/frame),0.2,0.1,0.1,0.1,0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,Low concentration,Low concentration,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Minor vibration,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff 0302 S+E d200 2021-04-26 16-01-56,Milieu diff 0302 S+E d200 2021-04-26 16-03-09,Milieu diff 0302 S+E d200 2021-04-26 16-04-22,Milieu diff 0302 S+E d200 2021-04-26 16-05-36,Milieu diff 0302 S+E d200 2021-04-26 16-06-49,Average,Standard Error,
Mean,91.1,85.0,88.2,87.9,82.7,87.0,1.4,
Mode,64.0,83.1,65.8,74.4,60.8,69.6,4.1,
SD,32.9,38.3,35.5,23.3,27.2,31.4,2.7,
D10,62.6,59.1,59.8,66.1,58.8,61.3,1.4,
D50,78.6,81.4,79.9,81.2,75.4,79.3,1.1,
D90,134.7,122.9,123.1,131.4,113.5,125.1,3.7,
Valid Tracks,544.0,529.0,468.0,631.0,765.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,0,0,0,
17.5,0,0,0,0,0,0,0,
18.5,0,0,0,0,0,0,0,
19.5,0,0,0,0,0,0,0,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,0,0,0,0,0,0,0,
28.5,0,0,0,0,0,0,0,
29.5,0,0,0,1,0,0,0,
30.5,0,0,0,5,0,1,0,
31.5,0,0,3,14,0,3,3,
32.5,0,0,10,40,0,10,8,
33.5,0,0,28,106,0,27,20,
34.5,0,0,73,265,0,68,51,
35.5,0,0,174,624,0,159,121,
36.5,0,0,381,1368,0,350,265,
37.5,0,0,785,2799,0,717,542,
38.5,0,0,1545,5336,3,1377,1034,
39.5,0,0,2943,9508,10,2492,1844,
40.5,0,0,5477,15914,27,4284,3094,
41.5,0,0,9998,25203,67,7054,4931,
42.5,0,0,17865,38087,154,11221,7551,
43.5,0,0,31036,55384,335,17351,11237,
44.5,0,0,51906,78045,707,26132,16388,
45.5,0,0,82722,107062,1479,38253,23443,
46.5,0,0,124600,143170,3113,54177,32678,
47.5,0,0,176622,186320,6640,73916,43953,
48.5,0,0,235746,235024,14335,97021,56548,
49.5,2,6,297895,285929,31096,122985,69223,
50.5,10,77,359732,334076,66871,152153,80540,
51.5,53,840,420109,374106,140186,187059,89762,
52.5,265,7026,480467,402069,281334,234232,99344,
53.5,1240,43286,544277,416931,531234,307394,118680,
54.5,5344,192882,616013,420935,930166,433068,161456,
55.5,20725,619774,700092,418742,1494269,650720,241421,
56.5,70638,1453240,799897,416018,2189314,985821,378397,
57.5,207061,2548792,916837,418296,2922294,1402656,559346,
58.5,513508,3461728,1049457,430540,3566155,1804278,706199,
59.5,1067531,3794819,1192832,457312,4008704,2104240,745079,
60.5,1858897,3511035,1338626,503236,4195601,2281479,685761,
61.5,2732752,2867231,1476146,573434,4141992,2358311,614196,
62.5,3446069,2155539,1594336,673651,3912235,2356366,594169,
63.5,3812082,1548686,1684172,809881,3586780,2288320,596057,
64.5,3799732,1097452,1740623,987331,3235737,2172175,571193,
65.5,3511987,786740,1763491,1208728,2906956,2035580,512659,
66.5,3095486,581828,1756945,1472232,2626012,1906501,441424,
67.5,2667836,450454,1728109,1769630,2401830,1803572,383578,
68.5,2294365,369099,1685320,2085641,2233075,1733500,357216,
69.5,1997733,322730,1636625,2399075,2113018,1693836,363912,
70.5,1776005,302996,1588796,2685938,2032518,1677250,390501,
71.5,1616627,306807,1546889,2923755,1981584,1675133,421020,
72.5,1504133,335873,1514204,3095790,1950187,1680037,443991,
73.5,1423523,397412,1492457,3193819,1928798,1687202,452729,
74.5,1361573,506269,1482016,3218731,1908948,1695508,443686,
75.5,1307470,688632,1482113,3179066,1883834,1708223,415061,
76.5,1253352,986849,1490999,3088268,1848853,1733664,367120,
77.5,1194689,1462470,1506061,2961655,1801876,1785350,309443,
78.5,1130262,2189190,1523950,2813879,1743142,1880085,289425,
79.5,1061590,3220132,1540752,2657286,1674784,2030909,394541,
80.5,991897,4515520,1552265,2501187,1600112,2232196,619924,
81.5,924959,5849949,1554368,2351844,1522867,2440797,881940,
82.5,864152,6789707,1543480,2212878,1446598,2571363,1076084,
83.5,811903,6862485,1517009,2085864,1374255,2530303,1101849,
84.5,769506,5894451,1473731,1970939,1308009,2283327,922934,
85.5,737206,4221345,1413978,1867330,1249244,1897821,608337,
86.5,714383,2488859,1339596,1773771,1198657,1503053,298871,
87.5,699738,1201460,1253671,1688803,1156399,1200014,157158,
88.5,691456,475915,1160082,1610962,1122220,1012127,197860,
89.5,687340,156255,1062984,1538898,1095592,908214,231415,
90.5,684979,43291,966327,1471417,1075798,848362,237558,
91.5,681962,10381,873483,1407487,1061997,807062,232407,
92.5,676152,2225,787040,1346217,1053268,772980,224811,
93.5,665981,443,708741,1286823,1048640,742126,217675,
94.5,650688,86,639548,1228606,1047125,713210,211544,
95.5,630424,17,579779,1170929,1047748,685780,206272,
96.5,606187,4,529282,1113227,1049595,659659,201591,
97.5,579601,0,487593,1055019,1051860,634815,197257,
98.5,552609,0,454079,995950,1053905,611309,193094,
99.5,527172,0,428045,935827,1055313,589271,188996,
100.5,505043,0,408806,874661,1055926,568887,184938,
101.5,487649,0,395729,812687,1055864,550386,180982,
102.5,476066,0,388250,750370,1055512,534039,177277,
103.5,471061,0,385872,688375,1055476,520157,174050,
104.5,473150,0,388152,627517,1056511,509066,171579,
105.5,482638,0,394677,568685,1059419,501084,170155,
106.5,499625,0,405029,512756,1064940,496470,170041,
107.5,523950,0,418757,460519,1073616,495368,171415,
108.5,555088,0,435338,412611,1085647,497737,174329,
109.5,592011,1,454151,369477,1100736,503275,178666,
110.5,633043,4,474458,331363,1117914,511356,184114,
111.5,675778,16,495392,298326,1135371,520976,190141,
112.5,717113,63,515977,270274,1150319,530749,195996,
113.5,753464,249,535159,247001,1158946,538964,200731,
114.5,781167,954,551855,228244,1156553,543755,203240,
115.5,797028,3421,565032,213718,1137962,543432,202308,
116.5,798881,11238,573780,203155,1098274,537065,196576,
117.5,786018,33203,577394,196333,1033938,525377,184361,
118.5,759339,86944,575436,193097,943956,511754,163425,
119.5,721170,199498,567776,193364,830859,502533,131771,
120.5,674825,397778,554605,197137,701003,505070,93807,
121.5,624017,685220,536408,204495,563849,522798,83610,
122.5,572314,1016100,513914,215587,430233,549629,131382,
123.5,522728,1294643,488022,230612,310078,569217,189315,
124.5,477515,1416607,459723,249792,210350,562797,220123,
125.5,438160,1331798,430012,273329,133964,521453,210199,
126.5,405481,1076951,399824,301346,79970,452714,166816,
127.5,379804,750147,369977,333822,44724,375695,112151,
128.5,361136,450758,341143,370511,23449,309399,73881,
129.5,349320,233982,313831,410858,11547,263908,69269,
130.5,344131,105031,288393,453934,5356,239369,81310,
131.5,345329,40797,265035,498389,2350,230380,93323,
132.5,352663,13714,243842,542461,980,230732,102980,
133.5,365818,3988,224799,584030,391,235805,111230,
134.5,384317,1002,207816,620756,151,242808,118627,
135.5,407385,217,192754,650267,56,250136,125125,
136.5,433787,41,179434,670395,21,256736,130428,
137.5,461669,7,167660,679413,7,261751,134217,
138.5,488473,0,157224,676252,3,264391,136222,
139.5,510985,0,147917,660646,0,263910,136234,
140.5,525592,0,139532,633173,0,259659,134073,
141.5,528779,0,131870,595207,0,251171,129583,
142.5,517806,0,124744,548757,0,238261,122673,
143.5,491413,0,117979,496249,0,221128,113398,
144.5,450333,0,111420,440276,0,200406,102040,
145.5,397370,0,104931,383353,0,177131,89162,
146.5,336967,0,98405,327716,0,152618,75554,
147.5,274335,0,91762,275184,0,128256,62112,
148.5,214429,0,84959,227085,0,105295,49664,
149.5,161083,0,77986,184253,0,84664,38819,
150.5,116539,0,70871,147067,0,66895,29881,
151.5,81447,0,63676,115529,0,52130,22855,
152.5,55208,0,56489,89359,0,40211,17520,
153.5,36473,0,49420,68079,0,30794,13539,
154.5,23618,0,42591,51104,0,23463,10562,
155.5,15086,0,36121,37807,0,17803,8298,
156.5,9572,0,30119,27571,0,13452,6535,
157.5,6076,0,24672,19821,0,10114,5133,
