NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 NS d200 2021-04-26 15-26-55.nano,
Operator Name,MG,
Time Captured,15:26:55  26/04/2021,
Sample Description,Milieu diff MPC28 d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 NS d200 2021-04-26 15-27-21,Milieu diff MPC28 NS d200 2021-04-26 15-28-34,Milieu diff MPC28 NS d200 2021-04-26 15-29-47,Milieu diff MPC28 NS d200 2021-04-26 15-31-00,Milieu diff MPC28 NS d200 2021-04-26 15-32-13,
,,,,,,
[Conditions],,,,,,
Temperature/C,27.352,27.400,27.442,27.483,27.521,
Viscosity/cP,0.843035,0.842143,0.841363,0.840603,0.839900,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,16.5099,19.2645,25.8605,22.7565,16.4734,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.36e+08,1.23e+08,8.91e+07,1.09e+08,1.12e+08,1.14e+08,7.74e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,15.7,13.6,10.6,12.8,11.8,12.9,0.9,
Centres per frame,16.7,14.6,11.6,13.8,12.9,13.9,0.9,
Completed tracks,2467,2376,1842,2059,2194,,,
X-Drift (pix/frame),-2.6,-2.7,-2.4,-2.5,-2.5,,,
Y-Drift (pix/frame),0.1,0.1,0.1,0.1,0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Minor vibration,Minor vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 NS d200 2021-04-26 15-27-21,Milieu diff MPC28 NS d200 2021-04-26 15-28-34,Milieu diff MPC28 NS d200 2021-04-26 15-29-47,Milieu diff MPC28 NS d200 2021-04-26 15-31-00,Milieu diff MPC28 NS d200 2021-04-26 15-32-13,Average,Standard Error,
Mean,83.7,83.3,78.9,74.7,74.9,79.1,1.9,
Mode,71.5,56.0,58.1,58.2,60.8,60.9,2.7,
SD,31.1,82.0,30.5,23.4,19.2,37.3,11.4,
D10,63.3,53.8,52.1,52.3,57.7,55.8,2.1,
D50,73.0,71.0,66.7,66.3,65.7,68.5,1.5,
D90,103.9,100.4,124.0,109.4,104.1,108.4,4.2,
Valid Tracks,880.0,802.0,611.0,717.0,750.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,5,0,0,1,1,
7.5,0,0,62,0,0,12,12,
8.5,0,0,399,0,0,80,80,
9.5,0,0,1634,0,0,327,327,
10.5,0,0,4664,0,0,933,933,
11.5,0,0,10005,0,0,2001,2001,
12.5,0,0,17111,0,0,3422,3422,
13.5,0,0,24504,0,0,4901,4901,
14.5,0,0,30647,0,0,6129,6129,
15.5,0,0,34744,0,0,6949,6949,
16.5,2,0,36882,0,0,7377,7376,
17.5,26,0,37674,0,0,7540,7534,
18.5,143,0,37807,0,0,7590,7554,
19.5,359,0,37771,0,0,7626,7537,
20.5,481,0,37783,0,0,7653,7533,
21.5,398,0,37818,0,0,7643,7544,
22.5,229,0,37688,0,0,7583,7526,
23.5,102,0,37148,0,0,7450,7425,
24.5,38,0,35999,0,0,7208,7198,
25.5,13,5,34170,0,0,6838,6833,
26.5,4,66,31751,0,0,6364,6347,
27.5,1,446,28965,0,0,5883,5771,
28.5,0,1684,26098,0,0,5557,5146,
29.5,0,3935,23424,0,0,5472,4552,
30.5,0,6323,21160,0,9,5498,4102,
31.5,0,7712,19456,0,60,5446,3806,
32.5,0,7807,18415,0,263,5297,3604,
33.5,0,7088,18128,2,828,5209,3492,
34.5,0,6151,18724,18,2027,5384,3518,
35.5,0,5359,20412,114,4086,5994,3758,
36.5,0,4850,23555,588,7100,7219,4293,
37.5,0,4657,28749,2520,11025,9390,5173,
38.5,0,4794,36945,8936,15700,13275,6454,
39.5,0,5306,49605,26198,20882,20398,8749,
40.5,0,6311,68882,63842,26294,33066,14292,
41.5,0,8050,97788,131000,31691,53706,25856,
42.5,0,10995,140280,230903,36950,83826,44355,
43.5,2,16080,201159,358576,42171,123598,68810,
44.5,6,25191,285708,504522,47755,172636,97486,
45.5,17,42244,399042,661223,54470,231399,129127,
46.5,52,75534,545236,827376,63572,302354,163476,
47.5,161,142650,726387,1008086,77053,390867,200783,
48.5,498,279909,941786,1212497,98177,506574,241041,
49.5,1516,557297,1187345,1450740,132521,665884,285094,
50.5,4477,1092785,1455393,1730951,189846,894690,342217,
51.5,12626,2041015,1734917,2056337,287232,1226426,445324,
52.5,33371,3510920,2012283,2422266,453647,1686497,641434,
53.5,81138,5397529,2272439,2813850,734874,2259966,928020,
54.5,178582,7246342,2500493,3205017,1194489,2864985,1213509,
55.5,351771,8380647,2683398,3560169,1901594,3375516,1357939,
56.5,617110,8327579,2811456,3839056,2894528,3697946,1272327,
57.5,966531,7170508,2879301,4004438,4122933,3828742,1009418,
58.5,1364678,5451818,2886225,4030768,5402844,3827267,778233,
59.5,1764698,3761143,2835824,3911201,6442914,3743156,776363,
60.5,2132192,2433708,2735151,3660213,6964033,3585060,882663,
61.5,2460170,1531281,2593616,3310543,6844294,3347981,918784,
62.5,2768288,971214,2421838,2905323,6176356,3048604,854117,
63.5,3092472,641814,2230634,2488291,5196492,2729941,737675,
64.5,3473571,454316,2030206,2095531,4155297,2441784,641873,
65.5,3948351,351595,1829557,1751050,3225707,2221252,626974,
66.5,4540732,301113,1636115,1466545,2483181,2085537,705528,
67.5,5249505,286383,1455560,1244075,1932757,2033656,847421,
68.5,6031608,301097,1291818,1079849,1545518,2049978,1016917,
69.5,6787125,345938,1147194,967705,1284359,2106464,1181120,
70.5,7361091,427089,1022617,901598,1116407,2165760,1304233,
71.5,7579025,555261,917936,877045,1016559,2189165,1349684,
72.5,7316092,743965,832244,891703,966841,2150169,1291997,
73.5,6566960,1005723,764167,945273,954388,2047302,1130654,
74.5,5465338,1345572,712104,1038765,969338,1906223,895483,
75.5,4230197,1753097,674401,1172981,1003134,1766762,640221,
76.5,3072622,2196829,649446,1346066,1047452,1662483,434663,
77.5,2124959,2625989,635706,1550280,1093862,1606159,354722,
78.5,1426002,2981907,631710,1768873,1134220,1588542,395116,
79.5,949279,3215423,635999,1974904,1161602,1587441,463373,
80.5,641735,3301909,647058,2134179,1171355,1579247,509401,
81.5,450811,3246463,663264,2213204,1161809,1547110,522637,
82.5,335973,3077983,682849,2190003,1134323,1484226,506029,
83.5,270127,2836831,703918,2062752,1092665,1393259,466856,
84.5,237021,2562685,724518,1851193,1041977,1283479,413794,
85.5,228202,2286804,742747,1589702,987704,1167032,355395,
