NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 S+E d200 2021-04-26 15-38-43.nano,
Operator Name,MG,
Time Captured,15:38:43  26/04/2021,
Sample Description,Milieu diff MPC28 S+E d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 S+E d200 2021-04-26 15-39-31,Milieu diff MPC28 S+E d200 2021-04-26 15-40-46,Milieu diff MPC28 S+E d200 2021-04-26 15-42-00,Milieu diff MPC28 S+E d200 2021-04-26 15-43-14,Milieu diff MPC28 S+E d200 2021-04-26 15-44-28,
,,,,,,
[Conditions],,,,,,
Temperature/C,27.669,27.710,27.771,27.782,27.838,
Viscosity/cP,0.837170,0.836416,0.835297,0.835095,0.834070,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,26.4038,19.2773,20.8315,19.6800,17.4107,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),9.56e+07,8.24e+07,6.94e+07,8.55e+07,9.76e+07,8.61e+07,5.07e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,11.4,10.2,9.5,10.7,10.6,10.5,0.3,
Centres per frame,12.6,11.4,10.6,11.8,11.8,11.6,0.3,
Completed tracks,2247,2038,1462,1839,2221,,,
X-Drift (pix/frame),-2.2,-2.2,-2.3,-2.2,-2.5,,,
Y-Drift (pix/frame),0.1,0.1,0.1,0.1,0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,Low concentration,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,No,No,No,No,No,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 S+E d200 2021-04-26 15-39-31,Milieu diff MPC28 S+E d200 2021-04-26 15-40-46,Milieu diff MPC28 S+E d200 2021-04-26 15-42-00,Milieu diff MPC28 S+E d200 2021-04-26 15-43-14,Milieu diff MPC28 S+E d200 2021-04-26 15-44-28,Average,Standard Error,
Mean,83.8,86.0,101.1,81.0,75.4,85.5,4.3,
Mode,77.1,67.9,64.0,69.6,69.2,69.6,2.1,
SD,30.6,46.8,56.3,28.2,22.3,36.8,6.3,
D10,52.3,55.2,59.3,58.3,57.1,56.4,1.2,
D50,77.2,71.8,81.1,71.1,70.4,74.3,2.1,
D90,134.5,119.6,164.0,120.2,95.9,126.8,11.2,
Valid Tracks,675.0,574.0,452.0,575.0,664.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,2,0,0,0,0,
12.5,0,0,14,0,0,3,3,
13.5,0,0,62,0,0,13,12,
14.5,3,0,212,0,0,43,42,
15.5,10,0,581,0,0,118,116,
16.5,31,0,1311,0,0,268,261,
17.5,84,0,2496,0,0,516,495,
18.5,203,0,4096,0,0,860,810,
19.5,446,0,5913,0,0,1272,1163,
20.5,898,0,7661,0,0,1712,1497,
21.5,1671,0,9084,0,0,2151,1763,
22.5,2895,0,10060,1,0,2591,1950,
23.5,4703,0,10620,6,0,3066,2096,
24.5,7214,0,10904,22,0,3628,2293,
25.5,10526,0,11097,66,0,4338,2644,
26.5,14729,0,11379,155,0,5253,3229,
27.5,19934,2,11903,297,0,6427,4078,
28.5,26308,3,12796,484,0,7918,5209,
29.5,34116,5,14160,695,2,9795,6652,
30.5,43733,8,16077,916,7,12148,8468,
31.5,55642,15,18593,1155,18,15085,10736,
32.5,70395,27,21692,1452,46,18722,13556,
33.5,88543,50,25275,1880,108,23171,17026,
34.5,110550,98,29153,2563,244,28522,21225,
35.5,136695,208,33067,3705,525,34840,26195,
36.5,167022,472,36757,5631,1085,42193,31921,
37.5,201342,1136,40029,8821,2166,50699,38323,
38.5,239332,2830,42825,13857,4198,60608,45257,
39.5,280679,7068,45245,21231,7930,72431,52517,
40.5,325228,17078,47536,31014,14627,87096,59821,
41.5,373064,38602,50055,42617,26320,106132,66844,
42.5,424490,79508,53243,54953,46047,131648,73428,
43.5,479891,146808,57610,67051,77886,165849,80062,
44.5,539506,241626,63763,78734,126519,210030,88079,
45.5,603146,355917,72448,90948,196043,263700,98673,
46.5,669924,474783,84624,105724,288145,324640,111496,
47.5,738059,583451,101544,126079,400354,389897,124807,
48.5,804842,673633,124840,156137,525520,456995,136651,
49.5,866839,745305,156578,201461,653349,524706,145305,
