NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff d200 2021-04-26 15-11-52.nano,
Operator Name,MG,
Time Captured,15:11:52  26/04/2021,
Sample Description,Milieu diff d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff d200 2021-04-26 15-12-57,Milieu diff d200 2021-04-26 15-14-11,Milieu diff d200 2021-04-26 15-15-25,Milieu diff d200 2021-04-26 15-16-39,Milieu diff d200 2021-04-26 15-17-53,
,,,,,,
[Conditions],,,,,,
Temperature/C,26.964,26.994,27.044,27.116,27.138,
Viscosity/cP,0.850304,0.849738,0.848797,0.847444,0.847032,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,16.3412,16.3178,24.6191,23.5312,14.2286,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),8.16e+07,6.24e+07,5.05e+07,5.45e+07,5.06e+07,5.99e+07,5.83e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,10.4,7.7,6.4,7.1,5.6,7.4,0.8,
Centres per frame,11.5,8.5,7.2,8.0,6.6,8.3,0.8,
Completed tracks,1614,1194,975,991,1011,,,
X-Drift (pix/frame),-2.5,-2.7,-2.4,-2.6,-2.5,,,
Y-Drift (pix/frame),0.1,0.1,0.1,0.0,-0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,Low concentration,Low concentration,Low concentration,Low concentration,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Moderate vibration,High vibration,High vibration,High vibration,
Vibration correction applied,No,No,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff d200 2021-04-26 15-12-57,Milieu diff d200 2021-04-26 15-14-11,Milieu diff d200 2021-04-26 15-15-25,Milieu diff d200 2021-04-26 15-16-39,Milieu diff d200 2021-04-26 15-17-53,Average,Standard Error,
Mean,99.7,99.1,91.6,102.7,91.4,96.9,2.3,
Mode,81.3,89.4,78.5,70.1,71.5,78.2,3.5,
SD,32.2,33.7,25.4,29.9,44.8,33.2,3.2,
D10,72.5,65.6,69.8,68.7,68.0,68.9,1.1,
D50,86.0,90.4,82.3,105.9,77.5,88.4,4.9,
D90,164.6,144.5,133.2,149.5,110.9,140.6,9.0,
Valid Tracks,516.0,391.0,332.0,339.0,342.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,12,0,0,2,2,
10.5,0,0,391,0,0,78,78,
11.5,0,0,3531,0,0,706,706,
12.5,0,0,11560,0,0,2312,2312,
13.5,0,0,16606,0,0,3321,3321,
14.5,0,0,12226,0,0,2445,2445,
15.5,0,0,5253,0,0,1051,1051,
16.5,0,0,1473,0,0,295,295,
17.5,0,0,298,0,0,60,60,
18.5,0,0,48,0,0,10,10,
19.5,0,0,7,0,0,1,1,
20.5,0,0,0,0,0,0,0,
21.5,0,0,0,0,0,0,0,
22.5,0,0,0,0,0,0,0,
23.5,0,0,0,0,0,0,0,
24.5,0,0,0,0,0,0,0,
25.5,0,0,0,0,0,0,0,
26.5,0,0,0,0,0,0,0,
27.5,4,0,0,0,0,0,0,
28.5,58,0,0,0,0,12,12,
29.5,491,0,0,0,0,98,98,
30.5,2632,0,0,0,0,526,526,
31.5,9371,0,0,0,0,1874,1874,
32.5,23159,1,0,0,0,4632,4632,
33.5,41460,3,0,0,0,8293,8292,
34.5,56096,7,0,0,0,11221,11219,
35.5,59811,14,0,0,0,11965,11962,
36.5,52370,31,1,0,7,10482,10472,
37.5,39208,65,6,0,168,7889,7830,
38.5,26106,136,32,0,1968,5648,5128,
39.5,16058,281,145,0,12241,5745,3484,
40.5,9461,567,583,0,42354,10593,8133,
41.5,5523,1122,2024,0,86439,19022,16880,
42.5,3296,2166,5963,0,111413,24568,21733,
43.5,2067,4065,14776,0,97903,23762,18709,
44.5,1394,7380,30715,0,63722,20642,12103,
45.5,1031,12915,53736,0,33512,20239,10321,
46.5,847,21717,79802,0,15551,23584,14666,
47.5,780,34999,101982,0,6936,28939,19348,
48.5,805,53966,114203,0,3216,34438,22401,
49.5,928,79551,114574,0,1657,39342,24208,
50.5,1185,112118,105618,0,1000,43984,26509,
51.5,1655,151221,91951,0,731,49112,31037,
52.5,2486,195529,77780,0,656,55290,38081,
53.5,3942,242962,65722,0,722,62669,46759,
54.5,6477,291023,56900,0,957,71071,56000,
55.5,10828,337235,51562,0,1486,80222,64934,
56.5,18115,379555,49680,0,2612,89992,72929,
57.5,29891,416663,51354,0,5010,100584,79554,
58.5,48095,448065,57059,6,10126,112670,84546,
59.5,74821,474030,67817,61,20901,127526,87757,
60.5,111947,495401,85324,466,42883,147204,89086,
61.5,160708,513357,112017,2839,85587,174902,88400,
62.5,221417,529194,150976,13961,163406,215791,85421,
63.5,293499,544134,205545,55622,294808,278722,79388,
64.5,375862,559211,278613,180082,498341,378422,69416,
65.5,467475,575200,371710,474935,784978,534859,70334,
66.5,567925,592597,484260,1022883,1148740,763281,134373,
67.5,677770,611646,613440,1805429,1560148,1053687,260014,
68.5,798563,632383,754795,2626160,1967677,1355915,398952,
69.5,932586,654709,903355,3175067,2309331,1595010,490316,
70.5,1082318,678486,1054685,3229457,2530792,1715147,493445,
71.5,1249699,703622,1205357,2807732,2602118,1713706,417143,
72.5,1435274,730165,1352685,2127677,2525232,1634207,314131,
73.5,1637306,758362,1493909,1437380,2329575,1531306,250613,
74.5,1851054,788683,1625232,887308,2059531,1442362,256588,
75.5,2068485,821806,1741124,513564,1760359,1381068,300947,
76.5,2278659,858558,1834272,285935,1468162,1345117,352457,
77.5,2468930,899812,1896365,156935,1205883,1325585,399649,
78.5,2626776,946363,1919665,86830,984181,1312763,438183,
79.5,2741829,998776,1898984,49390,804781,1298752,465706,
80.5,2807512,1057215,1833415,29363,664196,1278340,481274,
81.5,2821792,1121274,1727137,18487,556684,1249075,485390,
82.5,2786909,1189817,1588909,12452,476137,1210845,479755,
83.5,2708297,1260863,1430405,9036,417068,1165134,466747,
84.5,2593134,1331553,1263979,7096,374980,1114148,448834,
85.5,2449005,1398242,1100621,6044,346406,1060064,428102,
86.5,2282980,1456730,948627,5584,328798,1004544,405990,
87.5,2101211,1502655,813161,5586,320354,948594,383262,
88.5,1908969,1531980,696534,6032,319860,892675,360159,
89.5,1710948,1541517,598880,6997,326540,836977,336623,
90.5,1511620,1529365,518941,8668,339928,781704,312536,
91.5,1315468,1495182,454735,11384,359759,727305,287880,
92.5,1126986,1440229,404052,15720,385862,674570,262824,
93.5,950457,1367177,364765,22620,418054,624615,237714,
94.5,789562,1279734,334981,33590,456040,578781,213014,
95.5,646995,1182170,313105,50964,499308,538508,189224,
96.5,524191,1078849,297836,78211,547038,505225,166809,
97.5,421275,973827,288126,120210,598029,480293,146203,
98.5,337221,870574,283132,183300,650662,464978,128008,
99.5,270174,771821,282160,274851,702910,460383,113617,
100.5,217820,679532,284605,402018,752403,467275,106350,
101.5,177729,594951,289900,569525,796555,485732,111530,
102.5,147614,518711,297468,776670,832742,514641,132615,
103.5,125490,450959,306681,1014410,858507,551209,167342,
104.5,109742,391483,316836,1263892,871785,590748,209548,
105.5,99142,339828,327147,1497835,871102,627011,251888,
106.5,92827,295393,336763,1685318,855733,653207,287094,
107.5,90266,257500,344811,1799003,825797,663475,309088,
108.5,91232,225454,350463,1822349,782275,654355,314165,
109.5,95790,198579,353021,1754026,726943,625672,301742,
110.5,104296,176242,351998,1607748,662235,580504,274256,
111.5,117403,157874,347182,1407822,591045,524265,236249,
112.5,136077,142971,338668,1182398,516483,463319,193022,
113.5,161593,131103,326851,957057,441632,403647,149411,
