NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 S (D6) d200 2021-05-07 10-37-16.nano,
Operator Name,MG,
Time Captured,10:37:16  07/05/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 S (D6) d200 2021-05-07 10-37-38,Milieu diff MPC28 S (D6) d200 2021-05-07 10-39-27,Milieu diff MPC28 S (D6) d200 2021-05-07 10-40-46,Milieu diff MPC28 S (D6) d200 2021-05-07 10-42-08,Milieu diff MPC28 S (D6) d200 2021-05-07 10-43-23,
,,,,,,
[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,18.4841,20.9205,15.7824,20.9200,21.6916,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.77e+08,1.81e+08,1.10e+08,5.74e+07,1.75e+08,1.40e+08,2.45e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,21.0,21.2,13.8,7.9,20.8,17.0,2.7,
Centres per frame,25.1,24.5,17.3,75.9,24.2,33.4,10.7,
Completed tracks,4255,4213,2359,1946,4268,,,
X-Drift (pix/frame),12.6,12.4,12.6,12.3,12.7,,,
Y-Drift (pix/frame),0.6,0.5,0.4,0.4,0.5,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,Be cautious of data due to noise,Unreliable,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,Noise detected,High noise,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,Low concentration,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,Noise detected,High noise,No,
Vibration detected,Moderate vibration,Minor vibration,Moderate vibration,High vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 S (D6) d200 2021-05-07 10-37-38,Milieu diff MPC28 S (D6) d200 2021-05-07 10-39-27,Milieu diff MPC28 S (D6) d200 2021-05-07 10-40-46,Milieu diff MPC28 S (D6) d200 2021-05-07 10-42-08,Milieu diff MPC28 S (D6) d200 2021-05-07 10-43-23,Average,Standard Error,
Mean,92.6,89.1,99.3,103.7,88.9,94.7,2.9,
Mode,61.5,71.4,75.5,77.7,79.4,73.1,3.2,
SD,39.5,39.8,35.1,37.3,32.7,36.9,1.3,
D10,55.2,49.0,63.4,63.9,52.5,56.8,3.0,
D50,87.3,79.6,91.5,100.1,83.6,88.4,3.5,
D90,134.1,135.4,142.8,155.3,131.8,139.9,4.3,
Valid Tracks,1482.0,1438.0,887.0,446.0,1481.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,9,0,2,2,
6.5,0,0,0,220,0,44,44,
7.5,0,0,0,1934,0,387,387,
8.5,0,0,0,8215,0,1643,1643,
9.5,0,0,0,20977,3,4196,4195,
10.5,0,0,0,37790,34,7565,7556,
11.5,2,0,0,54094,182,10856,10810,
12.5,19,0,0,67134,588,13548,13397,
13.5,96,0,0,76771,1272,15628,15288,
14.5,305,0,0,84054,2038,17279,16698,
15.5,694,2,0,89881,2642,18644,17816,
16.5,1215,12,0,94482,2997,19741,18693,
17.5,1751,55,4,97500,3192,20500,19259,
18.5,2194,211,24,98358,3393,20836,19391,
19.5,2497,686,118,96697,3790,20758,18996,
20.5,2674,1928,451,92659,4614,20465,18061,
21.5,2774,4718,1346,86915,6226,20396,16651,
22.5,2854,10177,3214,80438,9282,21193,14888,
23.5,2975,19608,6287,74207,14958,23607,12994,
24.5,3213,34297,10321,68985,25185,28400,11519,
25.5,3675,55419,14564,65254,42671,36317,11793,
26.5,4551,84120,18096,63248,70353,48074,15522,
27.5,6207,121639,20275,63027,110160,64262,23136,
28.5,9391,169236,20965,64537,161706,85167,34070,
29.5,15642,227861,20464,67634,222055,110731,47518,
30.5,28011,297636,19263,72069,287133,140822,62541,
31.5,51971,377453,17837,77475,353822,175712,78202,
32.5,95633,464953,16534,83358,421195,216335,93795,
33.5,167260,556972,15574,89126,490146,263816,109231,
34.5,268648,650237,15080,94167,561871,318001,125330,
35.5,387751,741891,15131,97949,636113,375767,143040,
36.5,499258,829622,15802,100128,709966,430955,161748,
37.5,577095,911420,17191,100596,777850,476831,179214,
38.5,609360,985274,19446,99495,832922,509299,193545,
39.5,602528,1049087,22773,97154,869495,528207,204278,
40.5,573767,1100963,27455,94008,885339,536307,211733,
41.5,540724,1139732,33862,90514,882590,537484,216244,
42.5,516059,1165467,42450,87084,866890,535590,218086,
43.5,507114,1179719,53765,84054,845438,534018,217686,
44.5,517837,1185363,68433,81678,825089,535680,215708,
45.5,550716,1186118,87139,80133,811210,543063,213032,
46.5,607896,1185952,110594,79542,807379,558273,210725,
47.5,691467,1188568,139501,79994,815604,583027,210034,
48.5,803150,1197089,174503,81562,836731,618607,212358,
49.5,943627,1213933,216131,84319,870805,665763,219088,
50.5,1111766,1240841,264749,88347,917321,724605,231282,
51.5,1304017,1278978,320506,93749,975380,794526,249276,
52.5,1514189,1329050,383291,100648,1043777,874191,272452,
53.5,1733770,1391402,452714,109198,1121071,961631,299329,
54.5,1952720,1466085,528098,119577,1205656,1054427,327890,
55.5,2160600,1552882,608500,131991,1295836,1149962,355982,
56.5,2347755,1651305,692759,146670,1389911,1245680,381671,
57.5,2506326,1760567,779559,163855,1486263,1339314,403484,
58.5,2630911,1879532,867510,183786,1583427,1429033,420550,
59.5,2718833,2006676,955231,206684,1680152,1513515,432623,
60.5,2770026,2140040,1041422,232725,1775434,1591929,440029,
61.5,2786657,2277220,1124924,262007,1868526,1663867,443532,
62.5,2772581,2415381,1204757,294517,1958925,1729232,444163,
63.5,2732750,2551324,1280134,330098,2046336,1788128,443021,
64.5,2672645,2681592,1350453,368419,2130627,1840747,441092,
65.5,2597808,2802621,1415273,408954,2211773,1887286,439103,
66.5,2513477,2910926,1474290,450983,2289793,1927894,437450,
67.5,2424338,3003304,1527295,493609,2364701,1962650,436198,
68.5,2334397,3077026,1574148,535801,2436453,1991565,435154,
69.5,2246925,3130010,1614756,576453,2504911,2014611,433974,
70.5,2164474,3160943,1649054,614463,2569811,2031749,432282,
71.5,2088942,3169351,1677008,648818,2630758,2042975,429763,
72.5,2021654,3155599,1698612,678667,2687214,2048349,426216,
73.5,1963452,3120833,1713899,703385,2738520,2048018,421577,
74.5,1914792,3066874,1722957,722615,2783912,2042230,415905,
75.5,1875814,2996066,1725935,736275,2822562,2031331,409352,
76.5,1846420,2911114,1723058,744549,2853623,2015753,402119,
77.5,1826318,2814915,1714629,747844,2876271,1995995,394421,
78.5,1815064,2710399,1701033,746740,2889770,1972601,386448,
79.5,1812087,2600395,1682731,741935,2893516,1946133,378354,
80.5,1816705,2487526,1660248,734179,2887086,1917149,370244,
81.5,1828134,2374132,1634158,724228,2870279,1886186,362185,
82.5,1845496,2262226,1605070,712799,2843139,1853746,354219,
83.5,1867820,2153479,1573607,700540,2805967,1820283,346376,
84.5,1894052,2049215,1540387,688012,2759317,1786197,338689,
85.5,1923065,1950443,1506005,675680,2703974,1751834,331200,
86.5,1953677,1857876,1471022,663911,2640924,1717482,323960,
87.5,1984673,1771976,1435945,652980,2571307,1683376,317016,
88.5,2014835,1692991,1401227,643078,2496366,1649699,310408,
89.5,2042976,1620992,1367254,634321,2417397,1616588,304149,
90.5,2067979,1555910,1334348,626763,2335695,1584139,298220,
91.5,2088834,1497569,1302763,620405,2252505,1552415,292562,
92.5,2104673,1445712,1272687,615206,2168988,1521453,287085,
93.5,2114799,1400024,1244251,611087,2086185,1491269,281672,
94.5,2118709,1360149,1217528,607946,2004999,1461866,276194,
95.5,2116104,1325704,1192539,605657,1926184,1433238,270526,
96.5,2106892,1296289,1169264,604080,1850340,1405373,264560,
97.5,2091175,1271498,1147646,603063,1777922,1378261,258214,
98.5,2069235,1250916,1127594,602450,1709243,1351887,251441,
99.5,2041505,1234127,1108993,602080,1644491,1326239,244231,
100.5,2008538,1220719,1091709,601795,1583746,1301301,236610,
101.5,1970976,1210276,1075595,601440,1526993,1277056,228637,
102.5,1929513,1202386,1060493,600866,1474138,1253479,220394,
103.5,1884866,1196640,1046243,599937,1425030,1230543,211984,
104.5,1837747,1192632,1032684,598528,1379466,1208211,203520,
105.5,1788838,1189960,1019660,596528,1337210,1186439,195120,
106.5,1738772,1188229,1007023,593844,1298002,1165174,186898,
107.5,1688123,1187055,994633,590402,1261569,1144356,178959,
108.5,1637396,1186066,982365,586146,1227628,1123920,171393,
109.5,1587021,1184906,970108,581040,1195898,1103795,164273,
110.5,1537356,1183242,957766,575069,1166103,1083907,157650,
111.5,1488688,1180765,945258,568238,1137976,1064185,151550,
112.5,1441237,1177195,932520,560570,1111260,1044557,145978,
113.5,1395163,1172288,919505,552104,1085717,1024955,140919,
114.5,1350572,1165835,906177,542897,1061123,1005321,136334,
115.5,1307523,1157669,892517,533019,1037274,985600,132175,
116.5,1266036,1147662,878514,522548,1013984,965749,128380,
117.5,1226100,1135731,864169,511573,991090,945733,124882,
118.5,1187677,1121835,849490,500189,968446,925528,121613,
119.5,1150707,1105973,834490,488493,945931,905119,118509,
120.5,1115118,1088183,819188,476584,923442,884503,115510,
121.5,1080827,1068538,803603,464558,900897,863684,112564,
122.5,1047742,1047142,787758,452508,878235,842677,109629,
123.5,1015772,1024127,771674,440524,855413,821502,106671,
124.5,984823,999646,755371,428688,832409,800187,103666,
125.5,954805,973869,738868,417074,809215,778766,100597,
126.5,925631,946977,722182,405749,785841,757276,97455,
127.5,897220,919159,705327,394772,762310,735758,94236,
128.5,869499,890605,688317,384191,738660,714254,90942,
129.5,842399,861505,671162,374048,714938,692810,87579,
130.5,815863,832042,653874,364375,691200,671471,84154,
131.5,789840,802393,636462,355196,667512,650281,80678,
132.5,764287,772723,618937,346528,643941,629283,77160,
133.5,739170,743184,601308,338380,620560,608520,73613,
134.5,714461,713915,583588,330755,597443,588033,70047,
135.5,690141,685041,565792,323650,574663,567857,66473,
136.5,666195,656671,547936,317057,552290,548030,62902,
137.5,642617,628900,530040,310962,530391,528582,59343,
138.5,619403,601808,512127,305347,509029,509543,55806,
139.5,596554,575462,494223,300190,488261,490938,52298,
140.5,574076,549914,476356,295465,468135,472789,48829,
141.5,551975,525207,458560,291145,448695,455116,45406,
142.5,530260,501368,440869,287196,429975,437934,42037,
143.5,508943,478419,423321,283585,412002,421254,38730,
144.5,488035,456371,405953,280274,394797,405086,35493,
145.5,467546,435225,388807,277224,378370,389434,32336,
146.5,447490,414979,371922,274393,362728,374302,29268,
147.5,427875,395622,355338,271739,347869,359688,26300,
148.5,408712,377140,339094,269217,333785,345590,23446,
149.5,390010,359514,323227,266782,320464,331999,20719,
150.5,371776,342723,307773,264386,307889,318910,18139,
151.5,354019,326742,292762,261984,296038,306309,15728,
152.5,336742,311545,278224,259528,284887,294185,13518,
153.5,319951,297104,264184,256974,274406,282524,11551,
154.5,303650,283390,250662,254275,264567,271309,9884,
155.5,287841,270376,237675,251390,255338,260524,8590,
156.5,272527,258031,225236,248279,246685,250151,7743,
157.5,257709,246327,213352,244905,238574,240173,7381,
158.5,243388,235236,202029,241236,230970,230572,7465,
159.5,229565,224729,191265,237243,223839,221328,7883,
160.5,216240,214779,181059,232906,217146,212426,8502,
161.5,203414,205361,171402,228207,210856,203848,9213,
162.5,191085,196449,162286,223136,204934,195578,9941,
163.5,179253,188018,153698,217691,199347,187602,10636,
164.5,167916,180047,145623,211876,194063,179905,11273,
165.5,157073,172511,138045,205701,189049,172476,11835,
166.5,146722,165390,130947,199183,184275,165303,12316,
