NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-26-27.nano,
Operator Name,MG,
Time Captured,11:26:27  07/05/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-26-46,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-28-03,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-30-02,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-31-38,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-33-10,
,,,,,,
[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,18.8102,19.5269,16.7386,23.8670,22.1431,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.62e+08,1.56e+08,1.50e+08,1.51e+08,1.50e+08,1.54e+08,2.43e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,19.4,18.3,18.0,17.9,18.2,18.4,0.3,
Centres per frame,23.2,21.9,24.1,21.2,21.5,22.4,0.5,
Completed tracks,4007,3806,3731,3767,3770,,,
X-Drift (pix/frame),12.6,13.2,12.7,12.9,13.3,,,
Y-Drift (pix/frame),1.3,1.4,1.4,1.5,1.5,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,Be cautious of data due to noise,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,Noise detected,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,Noise detected,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-26-46,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-28-03,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-30-02,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-31-38,Milieu diff MPC28 S 2 (D6) 2021-05-07 11-33-10,Average,Standard Error,
Mean,92.6,90.2,89.1,87.2,88.5,89.5,0.9,
Mode,65.2,83.4,71.0,71.4,61.7,70.5,3.7,
SD,41.1,36.8,29.2,34.4,33.4,35.0,2.0,
D10,56.5,52.5,63.4,50.3,56.3,55.8,2.2,
D50,81.5,82.0,78.9,75.4,82.1,80.0,1.3,
D90,137.5,147.7,126.2,127.5,132.8,134.3,3.9,
Valid Tracks,1368.0,1345.0,1268.0,1282.0,1299.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,12,0,0,2,2,
15.5,0,0,306,0,0,61,61,
16.5,6,0,2553,13,0,514,510,
17.5,159,0,8904,326,0,1878,1758,
18.5,2152,0,16657,3608,0,4483,3119,
19.5,14813,0,20823,19269,0,10981,4590,
20.5,55562,0,20936,55471,0,26394,12489,
21.5,122459,0,19605,97440,0,47901,25887,
22.5,171940,0,18979,118995,6,61984,35265,
23.5,167278,0,20201,114642,159,60456,34101,
24.5,122776,4,24170,97416,2117,49297,25497,
25.5,73918,37,32189,79709,16204,40411,15733,
26.5,39541,214,46241,66648,76041,45737,13165,
27.5,20231,935,68683,58779,233052,76336,41085,
28.5,10565,3251,100996,55174,496484,133294,92473,
29.5,5944,9356,141623,54809,780501,198447,147557,
30.5,3756,22838,184313,56932,957662,245100,180900,
31.5,2740,47935,219283,61129,965636,259345,180317,
32.5,2341,87303,237648,67369,838382,246609,152880,
33.5,2345,139214,236069,76098,653468,221439,114619,
34.5,2727,196709,217851,88359,474523,196034,79685,
35.5,3611,250394,190144,105958,331720,176365,56836,
36.5,5316,293168,160106,131693,229770,164010,48605,
37.5,8461,323278,132622,169680,161714,159151,50233,
38.5,14156,344029,109990,225655,118167,162399,56422,
39.5,24254,361463,92678,306988,91256,175328,66597,
40.5,41584,382199,80233,421906,75511,200287,82878,
41.5,70025,412440,71917,577313,67580,239855,107328,
42.5,114202,457992,67048,775015,65726,295997,140391,
43.5,178709,524673,65137,1007295,69463,369055,180266,
44.5,266983,618581,65927,1254310,79412,457043,222871,
45.5,380265,745858,69398,1486211,97360,555818,262617,
46.5,517126,911688,75769,1670830,126484,660379,294236,
47.5,673808,1118468,85517,1784014,171657,766693,315070,
48.5,845215,1363407,99412,1817309,239629,872994,326542,
49.5,1026074,1636315,118579,1779125,338780,979775,333518,
50.5,1211847,1918747,144574,1689683,478033,1088577,341292,
51.5,1399142,2185598,179484,1573332,664652,1200442,352029,
52.5,1585674,2409406,226026,1452125,901145,1314875,363795,
53.5,1769916,2566333,287632,1342537,1182260,1429736,372882,
54.5,1950678,2641729,368489,1255108,1493566,1541914,376710,
55.5,2126719,2633207,473474,1195785,1812897,1648416,374900,
56.5,2296492,2550215,607942,1167761,2114657,1747413,368459,
57.5,2458031,2410648,777293,1173095,2375524,1838918,358364,
58.5,2608953,2236087,986287,1213826,2579333,1924897,344940,
59.5,2746562,2047404,1238131,1292578,2719448,2008825,328459,
60.5,2868002,1861819,1533409,1412650,2798257,2094827,310440,
61.5,2970451,1691706,1869062,1577617,2824633,2186694,294798,
62.5,3051325,1544758,2237647,1790413,2810697,2286968,287959,
63.5,3108482,1424948,2627157,2051870,2768969,2396285,296777,
64.5,3140411,1333741,3021579,2358839,2710454,2513005,324477,
65.5,3146403,1271214,3402225,2702219,2643714,2633155,368419,
66.5,3126660,1236934,3749663,3065500,2574682,2750688,421950,
67.5,3082361,1230553,4045911,3424589,2506944,2858072,477196,
68.5,3015633,1252169,4276465,3749606,2442208,2947216,526480,
69.5,2929449,1302480,4431783,4008797,2380837,3010669,562895,
70.5,2827447,1382766,4507983,4173946,2322334,3042895,580836,
71.5,2713689,1494709,4506718,4225886,2265751,3041351,576691,
72.5,2592398,1640036,4434362,4158416,2210022,3007047,549490,
73.5,2467696,1819963,4300762,3979372,2154205,2944399,501343,
74.5,2343382,2034441,4117827,3708565,2097644,2860372,437711,
75.5,2222765,2281247,3898199,3373385,2040059,2763131,367956,
76.5,2108565,2555027,3654155,3003537,1981563,2660569,306736,
77.5,2002876,2846498,3396830,2626365,1922628,2559039,274171,
78.5,1907188,3142079,3135746,2263736,1864009,2462552,284707,
79.5,1822446,3424245,2878613,1930729,1806646,2372536,330169,
80.5,1749128,3672790,2631335,1635851,1751560,2288133,389806,
81.5,1687334,3867005,2398151,1382188,1699759,2206887,447203,
82.5,1636867,3988475,2181853,1168946,1652161,2125660,492527,
83.5,1597303,4023945,1984036,992926,1609537,2041550,520423,
84.5,1568051,3967588,1805349,849743,1572481,1952642,528702,
85.5,1548383,3822067,1645728,734674,1541390,1858448,517715,
86.5,1537467,3598121,1504596,643206,1516464,1759971,489897,
87.5,1534370,3312773,1381036,571319,1497715,1659443,449267,
88.5,1538069,2986628,1273924,515604,1484972,1559839,400873,
89.5,1547446,2640936,1182040,473276,1477894,1464318,350241,
90.5,1561292,2295020,1104146,442123,1475980,1375712,302899,
91.5,1578308,1964514,1039044,420441,1478580,1296177,263873,
92.5,1597122,1660527,985610,406957,1484903,1227024,236874,
93.5,1616313,1389654,942824,400757,1494031,1168716,223134,
94.5,1634441,1154576,909774,401225,1504936,1120990,220777,
95.5,1650097,954972,885658,407986,1516505,1083044,225888,
96.5,1661956,788486,869783,420865,1527571,1053732,234433,
97.5,1668833,651599,861542,439842,1536958,1031755,243408,
98.5,1669737,540311,860407,465017,1543523,1015799,250970,
99.5,1663924,450613,865899,496568,1546213,1004643,256153,
100.5,1650930,378788,877570,534717,1544116,997224,258565,
101.5,1630593,321558,894972,579682,1536509,992663,258186,
102.5,1603048,276137,917629,631630,1522899,990269,255252,
103.5,1568711,240222,945011,690623,1503044,989522,250194,
104.5,1528243,211949,976503,756563,1476968,990045,243606,
105.5,1482497,189835,1011386,829135,1444947,991560,236233,
106.5,1432461,172713,1048815,907758,1407486,993847,228930,
107.5,1379201,159679,1087815,991537,1365281,996702,222609,
108.5,1323795,150043,1127277,1079245,1319167,999906,218130,
109.5,1267287,143285,1165983,1169312,1270069,1003187,216160,
110.5,1210647,139021,1202625,1259849,1218948,1006218,217023,
111.5,1154733,136980,1235859,1348700,1166748,1008604,220613,
112.5,1100281,136981,1264354,1433521,1114364,1009900,226415,
113.5,1047887,138918,1286858,1511881,1062602,1009629,233615,
114.5,998016,142747,1302264,1581390,1012165,1007316,241262,
115.5,951001,148475,1309677,1639819,963638,1002522,248400,
116.5,907058,156157,1308464,1685236,917486,994880,254174,
117.5,866303,165883,1298293,1716106,874061,984129,257877,
118.5,828762,177775,1279157,1731387,833606,970137,258985,
119.5,794388,191979,1251365,1730574,796272,952916,257150,
120.5,763077,208659,1215526,1713726,762129,932623,252200,
121.5,734681,227985,1172500,1681438,731181,909557,244119,
122.5,709014,250128,1123347,1634799,703378,884133,233026,
123.5,685869,275241,1069262,1575308,678631,856862,219154,
124.5,665017,303453,1011504,1504782,656818,828315,202820,
125.5,646219,334848,951335,1425249,637793,799089,184413,
126.5,629228,369449,889964,1338844,621396,769776,164365,
127.5,613794,407206,828498,1247710,607453,740932,143151,
128.5,599665,447976,767913,1153907,595781,713048,121292,
129.5,586594,491512,709031,1059345,586189,686534,99394,
130.5,574334,537448,652514,965727,578481,661701,78267,
131.5,562651,585300,598861,874516,572451,638756,59254,
132.5,551317,634460,548424,786915,567885,617800,45057,
133.5,540121,684204,501419,703866,564560,598834,40269,
134.5,528867,733707,457945,626057,562242,581764,46668,
135.5,517379,782067,418006,553940,560682,566415,59634,
136.5,505506,828326,381527,487760,559620,552548,74754,
137.5,493122,871512,348378,427579,558783,539875,89947,
138.5,480130,910670,318385,373314,557886,528077,104280,
139.5,466466,944903,291349,324760,556633,516822,117282,
140.5,452096,973410,267054,281625,554723,505781,128684,
141.5,437019,995520,245279,243554,551855,494646,138329,
142.5,421266,1010722,225806,210153,547736,483137,146131,
143.5,404895,1018683,208422,181008,542085,471019,152056,
144.5,387991,1019261,192924,155702,534651,458105,156115,
145.5,370660,1012509,179123,133824,525213,444266,158358,
146.5,353025,998667,166845,114985,513603,429425,158868,
147.5,335221,978148,155929,98817,499704,413564,157758,
148.5,317387,951513,146230,84983,483469,396716,155168,
149.5,299663,919446,137616,73176,464921,378965,151254,
150.5,282187,882720,129970,63120,444163,360432,146189,
151.5,265084,842166,123186,54569,421370,341275,140156,
152.5,248472,798639,117171,47308,396795,321677,133341,
153.5,232450,752990,111840,41147,370753,301836,125929,
154.5,217103,706037,107122,35925,343613,281960,118100,
155.5,202497,658546,102949,31499,315783,262255,110025,
156.5,188683,611209,99264,27750,287691,242919,101862,
157.5,175693,564637,96018,24573,259767,224138,93754,
158.5,163545,519351,93164,21884,232426,206074,85825,
159.5,152243,475776,90663,19606,206047,188867,78181,
160.5,141778,434248,88480,17678,180965,172630,70907,
161.5,132132,395016,86585,16049,157451,157447,64068,
162.5,123278,358246,84951,14674,135714,143373,57710,
163.5,115184,324036,83553,13516,115892,130436,51862,
164.5,107813,292417,82371,12546,98058,118641,46535,
165.5,101125,263373,81387,11738,82219,107968,41730,
166.5,95077,236840,80583,11072,68330,98381,37433,
167.5,89629,212725,79947,10531,56301,89827,33625,
168.5,84738,190908,79465,10102,46005,82244,30282,
169.5,80364,171252,79126,9773,37295,75562,27372,
170.5,76469,153608,78920,9537,30006,69708,24866,
171.5,73016,137825,78839,9388,23971,64608,22732,
172.5,69972,123748,78875,9321,19024,60188,20937,
173.5,67304,111227,79020,9334,15006,56378,19449,
174.5,64984,100117,79268,9428,11772,53114,18237,
175.5,62984,90278,79614,9603,9190,50334,17270,
176.5,61282,81583,80049,9862,7144,47984,16515,
177.5,59856,73911,80570,10209,5535,46016,15944,
178.5,58685,67152,81168,10652,4276,44387,15528,
179.5,57752,61207,81838,11199,3297,43058,15240,
180.5,57041,55985,82571,11859,2538,41999,15056,
181.5,56537,51405,83360,12646,1954,41180,14954,
182.5,56229,47396,84195,13573,1505,40579,14916,
183.5,56104,43891,85066,14659,1160,40176,14926,
184.5,56151,40836,85960,15923,896,39953,14971,
185.5,56361,38181,86863,17387,695,39897,15039,
186.5,56725,35881,87760,19079,541,39997,15120,
187.5,57232,33900,88633,21025,423,40242,15208,
188.5,57876,32204,89462,23257,332,40626,15295,
189.5,58648,30765,90223,25810,263,41142,15377,
190.5,59539,29561,90894,28719,210,41785,15452,
191.5,60541,28570,91447,32023,168,42550,15520,
192.5,61646,27775,91854,35760,137,43434,15580,
193.5,62844,27162,92085,39966,112,44434,15640,
194.5,64126,26721,92108,44677,92,45545,15707,
195.5,65482,26442,91892,49923,77,46763,15795,
196.5,66903,26318,91405,55724,65,48083,15920,
197.5,68376,26345,90619,62092,56,49498,16104,
198.5,69892,26520,89504,69023,49,50998,16370,
199.5,71439,26840,88038,76493,43,52571,16744,
200.5,73004,27306,86202,84458,38,54202,17248,
201.5,74576,27919,83983,92844,35,55871,17897,
202.5,76142,28680,81377,101550,32,57556,18697,
203.5,77689,29592,78386,110443,30,59228,19639,
204.5,79205,30659,75026,119357,28,60855,20702,
205.5,80677,31882,71318,128094,27,62400,21853,
206.5,82094,33266,67298,136431,26,63823,23045,
207.5,83445,34811,63010,144124,26,65083,24226,
208.5,84718,36520,58505,150916,26,66137,25336,
209.5,85904,38390,53846,156551,27,66943,26319,
210.5,86993,40419,49098,160787,28,67465,27117,
211.5,87979,42599,44332,163413,29,67670,27684,
212.5,88853,44919,39618,164258,31,67536,27980,
213.5,89610,47365,35026,163210,34,67049,27982,
214.5,90246,49914,30619,160228,37,66209,27684,
215.5,90758,52538,26455,155342,42,65027,27098,
216.5,91145,55204,22579,148665,47,63528,26255,
217.5,91406,57868,19028,140379,54,61747,25208,
218.5,91542,60480,15827,130737,62,59730,24023,
219.5,91555,62984,12987,120040,72,57528,22782,
220.5,91450,65315,10509,108623,85,55196,21570,
221.5,91229,67406,8382,96837,101,52791,20469,
222.5,90899,69184,6587,85024,122,50363,19544,
223.5,90465,70576,5099,73500,147,47958,18833,
224.5,89935,71513,3886,62541,180,45611,18340,
225.5,89317,71930,2915,52367,221,43350,18036,
226.5,88617,71773,2151,43137,273,41190,17870,
227.5,87845,71001,1562,34951,339,39140,17780,
228.5,87009,69592,1115,27848,423,37197,17709,
229.5,86117,67542,782,21816,528,35357,17613,
230.5,85178,64870,539,16801,663,33610,17462,
231.5,84199,61620,365,12717,832,31947,17243,
232.5,83190,57855,243,9460,1047,30359,16956,
233.5,82158,53660,159,6915,1316,28842,16613,
234.5,81111,49138,102,4966,1654,27394,16231,
235.5,80054,44401,64,3504,2075,26020,15830,
236.5,78996,39568,40,2429,2599,24726,15430,
237.5,77941,34757,24,1654,3244,23524,15049,
238.5,76896,30079,14,1106,4036,22426,14698,
239.5,75865,25632,8,727,4999,21446,14384,
