NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-00-40.nano,
Operator Name,MG,
Time Captured,12:00:40  07/05/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-01-14,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-02-30,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-04-11,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-06-38,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-08-02,
,,,,,,
[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,17.4272,16.2469,16.6480,15.6777,19.3514,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.31e+08,1.17e+08,1.16e+08,1.20e+08,1.30e+08,1.23e+08,3.17e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,15.3,14.1,13.8,14.9,16.1,14.9,0.4,
Centres per frame,17.6,16.1,15.7,16.9,17.9,16.8,0.4,
Completed tracks,2925,2563,2372,2519,2898,,,
X-Drift (pix/frame),8.2,8.3,8.2,8.3,8.4,,,
Y-Drift (pix/frame),-0.0,-0.1,-0.0,0.0,-0.0,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-01-14,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-02-30,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-04-11,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-06-38,Milieu diff MPC28 S 3 (D6) d200 2021-05-07 12-08-02,Average,Standard Error,
Mean,96.6,97.9,98.7,98.4,97.8,97.9,0.4,
Mode,81.2,83.3,81.6,78.0,81.5,81.1,0.9,
SD,34.2,31.8,35.6,34.6,34.0,34.0,0.6,
D10,67.3,69.1,62.5,63.6,67.9,66.1,1.3,
D50,86.4,90.8,86.0,90.1,89.0,88.5,1.0,
D90,125.5,144.8,145.7,145.1,146.1,141.4,4.0,
Valid Tracks,933.0,838.0,819.0,835.0,978.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,0,0,0,0,0,
12.5,0,0,0,0,0,0,0,
13.5,0,0,0,0,0,0,0,
14.5,0,0,0,0,0,0,0,
15.5,0,0,0,0,0,0,0,
16.5,0,0,0,0,2,0,0,
17.5,0,0,0,0,5,1,1,
18.5,0,0,0,3,12,3,2,
19.5,0,0,0,7,23,6,4,
20.5,0,0,0,15,44,12,8,
21.5,0,0,0,35,78,23,15,
22.5,0,0,0,75,134,42,27,
23.5,0,0,0,153,222,75,47,
24.5,0,0,0,298,355,131,81,
25.5,0,0,0,555,553,222,136,
26.5,0,0,0,988,840,366,225,
27.5,0,0,0,1681,1255,587,366,
28.5,2,0,0,2737,1850,918,579,
29.5,16,2,0,4273,2708,1400,889,
30.5,89,5,0,6406,3951,2090,1319,
31.5,399,15,0,9246,5766,3085,1888,
32.5,1477,40,0,12879,8425,4564,2597,
33.5,4595,97,0,17363,12320,6875,3450,
34.5,12245,223,0,22721,17982,10634,4605,
35.5,28321,472,0,28954,26070,16763,6765,
36.5,57302,931,0,36044,37317,26319,11209,
37.5,101878,1715,1,43977,52382,39991,18793,
38.5,159514,2969,5,52759,71626,57374,29076,
39.5,220379,4856,16,62432,94857,76508,40136,
40.5,269623,7551,49,73095,121147,94293,49151,
41.5,294140,11232,133,84909,148848,107852,53781,
42.5,289383,16070,327,98111,175875,115953,53541,
43.5,260933,22227,738,113019,200184,119420,50061,
44.5,220139,29851,1570,130032,220274,120373,46008,
45.5,178018,39069,3191,149632,235515,121085,43460,
46.5,141616,49985,6288,172373,246204,123293,42963,
47.5,113728,62686,12134,198875,253374,128159,43952,
48.5,94401,77253,23066,229795,258489,136601,45681,
49.5,82578,93779,43231,265800,263135,149705,47600,
50.5,77182,112409,79530,307518,268812,169090,49390,
51.5,77638,133371,142342,355488,276826,197133,51368,
52.5,84104,157017,244882,410095,288265,236872,55869,
53.5,97586,183845,399525,471513,304018,291297,68346,
54.5,120036,214522,610270,539654,324813,361859,93509,
55.5,154397,249877,863853,614138,351240,446701,129488,
56.5,204498,290878,1126304,694295,383769,539949,168314,
57.5,274608,338589,1351346,779187,422759,633298,199589,
58.5,368552,394097,1498787,867670,468480,719517,214628,
59.5,488432,458414,1551477,958468,521143,795587,209911,
60.5,633327,532357,1519591,1050260,580956,863298,188122,
61.5,798607,616413,1431474,1141764,648188,927289,156733,
62.5,976360,710615,1319634,1231807,723231,992330,125799,
63.5,1157031,814449,1210577,1319370,806641,1061614,105791,
64.5,1331672,926806,1121345,1403622,899136,1136516,102467,
65.5,1493946,1046013,1060815,1483910,1001536,1217244,111354,
66.5,1641182,1169930,1032690,1559752,1114648,1303640,123802,
67.5,1774274,1296107,1038169,1630795,1239083,1395686,134325,
68.5,1896757,1421957,1077614,1696777,1375040,1493629,140721,
69.5,2013509,1544938,1151192,1757484,1522067,1597838,142531,
70.5,2129516,1662701,1258767,1812704,1678830,1708504,140241,
71.5,2248900,1773187,1399292,1862197,1842956,1825307,135150,
72.5,2374257,1874692,1569988,1905672,2010976,1947117,129560,
73.5,2506246,1965896,1765592,1942785,2178420,2071788,126833,
74.5,2643401,2045873,1977996,1973147,2340089,2196101,130510,
75.5,2782134,2114101,2196491,1996354,2490480,2315912,142292,
76.5,2916954,2170467,2408669,2012026,2624308,2426485,160831,
77.5,3040924,2215273,2601803,2019860,2737059,2522984,182773,
78.5,3146353,2249225,2764347,2019676,2825450,2601010,204469,
79.5,3225654,2273401,2887187,2011465,2887737,2657089,222874,
80.5,3272271,2289191,2964389,1995422,2923799,2689014,235804,
81.5,3281484,2298203,2993382,1971962,2935025,2696011,241954,
82.5,3250984,2302146,2974696,1941714,2924013,2678710,240857,
83.5,3181099,2302699,2911422,1905499,2894180,2638980,232844,
84.5,3074658,2301382,2808597,1864286,2849336,2579652,219016,
85.5,2936564,2299428,2672601,1819142,2793297,2504207,201260,
86.5,2773176,2297692,2510629,1771170,2729577,2416449,182299,
87.5,2591625,2296575,2330224,1721457,2661178,2320212,165694,
88.5,2399178,2295987,2138865,1671018,2590473,2219104,155417,
89.5,2202710,2295342,1943589,1620757,2519180,2116315,154471,
90.5,2008323,2293592,1750666,1571440,2448383,2014481,163110,
91.5,1821116,2289294,1565346,1523678,2378610,1915609,178778,
92.5,1645078,2280719,1391704,1477926,2309924,1821070,197905,
93.5,1483097,2265990,1232591,1434485,2242031,1731639,217388,
94.5,1337041,2243250,1089694,1393515,2174389,1647578,235008,
95.5,1207900,2210845,963676,1355057,2106311,1568758,249324,
96.5,1095951,2167492,854378,1319047,2037068,1494787,259488,
97.5,1000944,2112430,761037,1285342,1965973,1425145,265084,
98.5,922281,2045522,682495,1253740,1892457,1359299,266022,
99.5,859179,1967288,617387,1223998,1816127,1296796,262457,
100.5,810811,1878882,564276,1195851,1736813,1237327,254727,
101.5,776419,1781991,521762,1169028,1654584,1180757,243300,
102.5,755393,1678696,488541,1143264,1569753,1127129,228734,
103.5,747330,1571300,463433,1118314,1482857,1076647,211649,
104.5,752054,1462146,445387,1093956,1394626,1029634,192720,
105.5,769610,1353465,433472,1070004,1305929,986496,172707,
106.5,800218,1247239,426841,1046305,1217718,947664,152545,
107.5,844182,1145125,424706,1022747,1130969,913546,133529,
108.5,901747,1048404,426302,999256,1046626,884467,117593,
109.5,972885,957978,430856,975793,965548,860612,107484,
110.5,1057015,874399,437571,952354,888473,841962,106109,
111.5,1152666,797906,445622,928966,815990,828230,114644,
112.5,1257110,728486,454171,905679,748530,818795,131475,
113.5,1366055,665934,462405,882565,686364,812665,153507,
114.5,1473475,609899,469586,859711,629615,808457,177640,
115.5,1571715,559945,475114,837212,578273,804452,201143,
116.5,1651979,515581,478585,815170,532221,798707,221585,
117.5,1705229,476299,479833,793686,491256,789261,236803,
118.5,1723443,441596,478945,772857,455113,774391,245019,
119.5,1701007,410989,476257,752777,423488,752903,245036,
