NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-50-13.nano,
Operator Name,MG,
Time Captured,10:50:13  07/05/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-50-53,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-53-52,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-55-09,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-56-26,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-57-42,
,,,,,,
[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,18.3423,18.9012,21.2525,19.6804,17.6610,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),1.50e+08,1.83e+08,1.85e+08,2.00e+08,1.74e+08,1.78e+08,8.24e+06,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,18.9,21.7,22.7,24.6,22.6,22.1,0.9,
Centres per frame,23.4,26.0,26.7,29.3,28.1,26.7,1.0,
Completed tracks,3535,4379,4548,5020,4231,,,
X-Drift (pix/frame),14.0,13.6,14.2,14.2,13.6,,,
Y-Drift (pix/frame),0.1,0.1,0.0,0.1,0.1,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,Be cautious of data due to noise,Be cautious of data due to noise,OK,OK,Be cautious of data due to noise,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,No,No,Noise detected,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,Noise detected,Noise detected,No,No,Noise detected,
Vibration detected,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,Moderate vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-50-53,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-53-52,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-55-09,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-56-26,Milieu diff MPC28 S+E (D6) d200 2021-05-07 10-57-42,Average,Standard Error,
Mean,89.2,84.1,87.6,89.9,91.9,88.6,1.3,
Mode,79.8,66.0,76.6,72.3,64.2,71.8,3.0,
SD,31.9,32.3,36.3,40.5,35.5,35.3,1.6,
D10,53.2,50.8,49.4,54.9,54.3,52.5,1.0,
D50,83.8,76.4,78.2,81.4,86.6,81.3,1.8,
D90,129.0,125.3,133.0,132.8,139.1,131.8,2.3,
Valid Tracks,1347.0,1558.0,1620.0,1722.0,1566.0,,,
Graph Data,
