NTA Experiment Summary File,
Created with NTA 3.3 - Sample Assistant Dev Build 3.3.203,
,
[Experiment Details],,
Software Version,NTA 3.3 - Sample Assistant Dev Build 3.3.203,
Experiment Name,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-49-19.nano,
Operator Name,MG,
Time Captured,11:49:19  07/05/2021,
Sample Description,d200,
Pre-treatment,,
Diluent,PBS,
Remarks,,
,,
,,,,,
Filename:,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-49-49,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-51-22,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-52-47,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-54-03,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-55-22,
,,,,,,
[Conditions],,,,,,
Temperature/C,22.000,22.000,22.000,22.000,22.000,
Viscosity/cP,0.952941,0.952941,0.952941,0.952941,0.952941,
Camera Type,sCMOS,sCMOS,sCMOS,sCMOS,sCMOS,
Laser Type,Unknown,Unknown,Unknown,Unknown,Unknown,
Camera Level,16,16,16,16,16,
Slider Shutter,1300,1300,1300,1300,1300,
Slider Gain,512,512,512,512,512,
Shutter/ms,32.500000,32.500000,32.500000,32.500000,32.500000,
Camera Histogram Upper Limit,2470,2470,2470,2470,2470,
Camera Histogram Lower Limit,0,0,0,0,0,
Frame rate/fps,24.982500,24.982500,24.982500,24.982500,24.982500,
Syringe Pump Speed/AU,50,50,50,50,50,
,,,,,,
[Settings],,,,,,
Detection Threshold,5,5,5,5,5,
Max Jump Mode,Auto,Auto,Auto,Auto,Auto,
Max Jump Distance,15.1802,15.3232,20.1634,16.2023,17.4831,
Blur,Auto,Auto,Auto,Auto,Auto,
Min Track Length,Auto,Auto,Auto,Auto,Auto,
First frame,0,0,0,0,0,
Total frames analysed,1498,1498,1498,1498,1498,
,,,,,,
[Exclusion Regions]
No Exclusion Regions Used,,,,,,

[Results],,,,,,Average,Standard Error,
Dilution factor (concentrations adjusted for this factor),Not recorded,Not recorded,Not recorded,Not recorded,Not recorded,,,
Concentration (Particles / ml),2.45e+08,2.15e+08,1.97e+08,2.59e+08,2.18e+08,2.27e+08,1.12e+07,
Concentration Upgrade?,Yes,Yes,Yes,Yes,Yes,,,
Particles per frame,33.1,28.8,27.2,34.8,31.5,31.1,1.4,
Centres per frame,37.2,32.8,31.7,38.6,36.7,35.4,1.3,
Completed tracks,5250,4662,4557,5361,5145,,,
X-Drift (pix/frame),9.8,10.1,10.6,10.4,10.5,,,
Y-Drift (pix/frame),-0.1,-0.1,-0.1,-0.1,-0.0,,,
,,,,,,,,
[Concentration Warnings]
Validity of concentration measurement,OK,OK,OK,OK,OK,
Completed Tracks,OK,OK,OK,OK,OK,
Particles per frame,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Brightness,OK,OK,OK,OK,OK,
Detection Threshold,OK,OK,OK,OK,OK,
Camera Histogram Lower Limit,OK,OK,OK,OK,OK,

[Information]
Completed Tracks,OK,OK,OK,OK,OK,
Concentration,OK,OK,OK,OK,OK,
Video length,OK,OK,OK,OK,OK,
Noise level,No,No,No,No,No,
Vibration detected,Minor vibration,Minor vibration,Moderate vibration,Minor vibration,Minor vibration,
Vibration correction applied,Yes,Yes,Yes,Yes,Yes,
Settings changed?,No,No,No,No,No,
Errors (1),,,,,,
Errors (2),,,,,,

[Data Included],
Size distribution - Number weighting - With Percentiles,
Size distribution - Surface area weighting - With Percentiles,
Size distribution - Volume weighting - With Percentiles,
Diffusion distribution - Number weighting - With Percentiles,
Diffusion distribution - Surface area weighting - With Percentiles,
Diffusion distribution - Volume weighting - With Percentiles,
,
[Size Data],,
Analysis Method,FTLA,
Weighting,Number,
Filename,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-49-49,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-51-22,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-52-47,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-54-03,Milieu diff MPC28 S+E 3 (D6) 2021-05-07 11-55-22,Average,Standard Error,
Mean,105.9,108.5,106.8,107.0,113.6,108.3,1.4,
Mode,78.0,74.5,71.2,68.0,66.3,71.6,2.1,
SD,43.4,51.0,44.6,42.7,51.2,46.6,1.9,
D10,63.8,68.0,63.2,64.3,62.2,64.3,1.0,
D50,94.4,92.4,95.5,97.8,104.1,96.8,2.0,
D90,152.9,165.6,169.0,154.8,180.9,164.6,5.1,
Valid Tracks,1983.0,1680.0,1618.0,2101.0,1852.0,,,
Graph Data,
Bin centre (nm),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration (particles / ml),Concentration average,Standard Error,
0.5,0,0,0,0,0,0,0,
1.5,0,0,0,0,0,0,0,
2.5,0,0,0,0,0,0,0,
3.5,0,0,0,0,0,0,0,
4.5,0,0,0,0,0,0,0,
5.5,0,0,0,0,0,0,0,
6.5,0,0,0,0,0,0,0,
7.5,0,0,0,0,0,0,0,
8.5,0,0,0,0,0,0,0,
9.5,0,0,0,0,0,0,0,
10.5,0,0,0,0,0,0,0,
11.5,0,0,12,0,0,2,2,
12.5,0,0,113,0,0,23,23,
13.5,0,0,696,0,1,139,139,
14.5,0,0,2826,0,8,567,565,
15.5,0,0,7947,0,42,1598,1587,
16.5,0,0,16342,0,152,3299,3261,
17.5,0,0,26001,2,424,5285,5180,
18.5,0,0,33861,7,939,6961,6727,
19.5,0,0,38090,23,1732,7969,7538,
20.5,0,0,38902,52,2777,8346,7658,
21.5,0,0,37693,90,4035,8364,7373,
22.5,0,0,35937,126,5525,8318,6986,
23.5,0,0,34669,150,7366,8437,6709,
24.5,0,0,34476,161,9792,8886,6670,
25.5,0,0,35680,164,13155,9800,6950,
26.5,0,0,38491,164,17902,11311,7623,
27.5,0,0,43081,168,24512,13552,8771,
28.5,0,0,49589,181,33343,16623,10462,
29.5,0,3,58064,209,44408,20537,12718,
30.5,0,7,68390,261,57164,25164,15458,
31.5,0,17,80211,351,70506,30217,18493,
32.5,0,36,92918,507,83056,35304,21565,
33.5,2,74,105713,777,93664,40046,24424,
34.5,150,142,117768,1241,101832,44227,26889,
35.5,4440,262,128406,2036,107836,48596,28577,
36.5,50483,468,137270,3375,112545,60828,27901,
37.5,231938,817,144396,5577,117122,99970,43832,
38.5,486700,1404,150192,9087,122770,154031,88308,
39.5,555428,2380,155343,14487,130613,171650,100645,
40.5,421709,3986,160699,22484,141693,150114,74696,
41.5,260575,6590,167177,33898,157005,125049,46639,
42.5,156168,10729,175708,49629,177556,113958,34953,
43.5,103321,17148,187225,70650,204388,116546,35265,
44.5,81256,26806,202676,98009,238573,129464,39444,
45.5,77614,40837,223049,132862,281186,151109,44716,
46.5,88408,60437,249397,176510,333248,181600,50490,
47.5,115214,86696,282841,230444,395682,222175,56413,
48.5,163517,120389,324563,296374,469266,274822,62043,
49.5,241312,161818,375771,376222,554615,341948,67127,
50.5,356736,210763,437652,472078,652161,425878,72295,
51.5,514498,266592,511323,586084,762141,528128,79684,
52.5,712326,328521,597767,720254,884560,648686,92170,
53.5,939578,395960,697784,876195,1019118,785727,110900,
54.5,1179336,468839,811927,1054758,1165091,935990,134058,
55.5,1413180,547860,940442,1255628,1321175,1095657,158342,
56.5,1626225,634619,1083183,1476917,1485314,1261252,180872,
57.5,1810164,731622,1239519,1714845,1654557,1430141,200013,
58.5,1963611,842192,1408214,1963619,1824987,1600524,215186,
59.5,2090438,970316,1587320,2215597,1991784,1771091,226195,
60.5,2197398,1120394,1774096,2461806,2149452,1940629,232560,
61.5,2291986,1296876,1964980,2692777,2292208,2107766,233251,
62.5,2380998,1503745,2155660,2899590,2414520,2270903,226915,
63.5,2469779,1743797,2341246,3074921,2511688,2428286,212475,
64.5,2561964,2017762,2516543,3213891,2580393,2578111,190035,
