,MPC28 Stretch + exercice d200,Milieu diff MPC28 S+E 3 (D6),MPC28 Stretch d200,Milieu diff MPC28 S+E 2 (D6) d200,MPC28 No Stretch d200,Milieu diff MPC28 NS 2 (D6) d200,Milieu diff MPC28 S (D6) d200,Milieu diff MPC28 NS (D6) d200,Milieu diff MPC28 S 2 (D6),Milieu diff MPC28 S+E (D6) d200,EMT3 d200 pre3,Milieu diff MPC28 S 3 (D6) d200,Milieu diff d200,EMT4 d200 pre4,EMT3 d200,MPC 28 Stretch + exercice d200,EMT5 d200 pre5,Milieu diff MPC28 NS 3 (D6) d200,EMT2 d200 pre2,20210401 EMT1 d20,EMT1 d200 pre1,Milieu diff 0302 NS d200,Milieu diff MPC28 NS d200,Milieu diff 0302 S+E d200,Milieu diff MPC28 S+E d200,MPC 28 No stretch d200,MPC 28 Stretch d200
MPC28 Stretch + exercice d200,0.0,3.467784270196164,2.2970866131978482,3.35616970738187,9.440921593443914,5.970765754359182,14.783607488426728,18.82700102355107,17.785074537008338,19.00602105070931,8.664026312976546,9.571565315879445,11.673329655653191,9.87149852563276,14.046922954123998,14.734097574153704,12.383380996331248,10.73942527696945,19.443784558749865,22.725033913115983,22.090962747871124,28.813172151029153,30.402989478261848,21.146800082597256,23.510041855953393,25.470497801140112,25.29177707937711
Milieu diff MPC28 S+E 3 (D6),3.467784270196164,0.0,1.824250312467047,1.6247090499306012,8.633516428602764,6.880579355393477,15.54922815675526,19.73877963065523,18.69507286575444,19.760934376770297,9.72182710493544,11.269064656540907,12.923944133826668,9.1131413110999,14.471333669146967,15.592445823139018,12.95781940139154,11.389908149407203,17.974261969608627,22.328142127710027,21.73410333726102,29.76294151606607,30.814584613232466,21.79012141155696,23.765814034440382,26.235954508806724,26.08412280588304
MPC28 Stretch d200,2.2970866131978482,1.824250312467047,0.0,1.6160864661994876,8.40524709808182,5.354109957214179,15.571034167700308,19.754641679760088,18.710732969809467,19.82077296378455,9.560741505748297,11.062108682092786,12.947497806695567,9.264963125745487,14.556244576475605,15.608307872243877,13.14059162674434,11.449085967468877,18.920915104624104,22.692071544153816,22.251114428375104,29.808857297148563,30.921471532055982,21.915222493853506,23.8199490143063,26.266597553269516,26.123868951609367
Milieu diff MPC28 S+E 2 (D6) d200,3.35616970738187,1.6247090499306012,1.6160864661994876,0.0,9.511524856916413,6.375767780804825,14.493214342065302,18.669217696005855,17.625641548826902,18.779209464273464,9.285418977771997,10.73024173863905,12.41352798722284,8.43828362075751,13.47967793794824,14.522883888489643,12.38163131403779,10.285076118278804,17.894549979852194,21.70329696244235,21.20810315138487,28.765920756374474,29.80760241463515,20.947007325439795,22.75191399814302,25.21739905550709,24.992608843868947
MPC28 No Stretch d200,9.440921593443914,8.633516428602764,8.40524709808182,9.511524856916413,0.0,5.457090917786631,23.530025201608492,27.694744510272262,26.65097994131257,27.701411513471914,17.146012540855814,18.981625689883405,20.868832205472728,17.410855828707415,22.463197111031008,23.68158162228158,21.33867688386179,19.717207768234317,26.453349903032617,30.347657175008255,30.213813198105413,38.09674052889916,39.066902661896926,30.2890013077815,31.987314679246637,34.498273543249994,34.24401895647066
Milieu diff MPC28 NS 2 (D6) d200,5.970765754359182,6.880579355393477,5.354109957214179,6.375767780804825,5.457090917786631,0.0,20.20688163039195,24.283940686384447,23.24003197643383,24.45791819170653,13.277154140164697,15.48192788298097,16.82081467478456,14.120641256032782,19.232417509888332,20.310050349158622,18.02312450748834,16.249039069753625,24.010421861316303,27.51577515287189,27.342964157263875,34.70397522020326,35.803960568633244,26.783929442951866,28.691565099226402,31.26133673655329,30.828814912329666
Milieu diff MPC28 S (D6) d200,14.783607488426728,15.54922815675526,15.571034167700308,14.493214342065302,23.530025201608492,20.20688163039195,0.0,5.052113107567786,3.9413684603063888,4.40341494473398,8.850201085917494,5.923845577654988,5.7774959723625825,8.292931733667778,3.996673327783899,5.3001340286732415,6.2680171484658045,4.536607030597964,13.413792507111204,12.071137035560042,13.364153347483885,16.158892129366475,17.183878916569412,9.547187290503851,11.266571945030012,12.477981431518467,11.860576565208115
Milieu diff MPC28 NS (D6) d200,18.82700102355107,19.73877963065523,19.754641679760088,18.669217696005855,27.694744510272262,24.283940686384447,5.052113107567786,0.0,2.8393265533052174,2.9567976560477898,13.064719933548588,9.323564384057693,9.211944179365576,11.52149928184182,5.771400969766833,4.19216369431656,7.213991049121954,8.418676537150642,12.625789142356663,10.3548794979607,10.734532879424208,11.297138718438463,13.045345658721894,5.055718287584849,8.1434914851506,8.113885740967175,7.589987561727151
Milieu diff MPC28 S 2 (D6),17.785074537008338,18.69507286575444,18.710732969809467,17.625641548826902,26.65097994131257,23.24003197643383,3.9413684603063888,2.8393265533052174,0.0,1.8415943247793152,12.068881014646385,8.487310489417627,8.865881127071189,10.477590571891202,4.793087221979647,4.462022925429902,6.1672992144169845,7.3747678272000226,10.812695660506249,9.716177647224832,10.53719907454544,12.451195527425035,13.976002104571272,6.592664819763736,8.108849380761663,9.173088269505888,8.51311889913313
Milieu diff MPC28 S+E (D6) d200,19.00602105070931,19.760934376770297,19.82077296378455,18.779209464273464,27.701411513471914,24.45791819170653,4.40341494473398,2.9567976560477898,1.8415943247793152,0.0,13.093940990060876,9.547486187778686,9.677209566501727,11.663857238957798,5.785213121875823,5.470604108160424,7.216727929384587,8.576755482409961,11.973824528654221,9.725985171167883,11.341239041900531,12.464495413027052,13.82699480643571,6.846767847465288,8.89750338749599,9.086151450717106,8.705457680899281
