,Milieu diff MPC28 S+E (D6) d200,MPC28 No Stretch d200,EMT5 d200 pre5,EMT3 d200,MPC 28 No stretch d200,EMT1 d200 pre1,Milieu diff MPC28 NS 3 (D6) d200,EMT4 d200 pre4,EMT2 d200 pre2,Milieu diff MPC28 S+E 2 (D6) d200,Milieu diff MPC28 S 2 (D6),Milieu diff MPC28 S+E 3 (D6),MPC28 Stretch d200,MPC28 Stretch + exercice d200,Milieu diff MPC28 S (D6) d200,Milieu diff MPC28 NS d200,Milieu diff MPC28 NS 2 (D6) d200,MPC 28 Stretch d200,Milieu diff MPC28 S 3 (D6) d200,Milieu diff 0302 NS d200,Milieu diff MPC28 NS (D6) d200,Milieu diff d200,Milieu diff MPC28 S+E d200,20210401 EMT1 d20,Milieu diff 0302 S+E d200,EMT3 d200 pre3,MPC 28 Stretch + exercice d200
Milieu diff MPC28 S+E (D6) d200,0.0,2480000000.0,4920000000.0,3640000000.0,4240000000.0,7440000000.0,6400000000.0,12000000000.0,10480000000.0,10480000000.0,35526200000.0,35453200000.0,6400000000.0,7040000000.0,7664000000.0,12916000000.0,11640000000.0,11320000000.0,11120000000.0,10680000000.0,9920000000.0,23696000000.0,18460000000.0,17404000000.0,16952000000.0,15900000000.0,16408000000.0
MPC28 No Stretch d200,2480000000.0,0.0,2440000000.0,1160000000.0,1760000000.0,4960000000.0,3920000000.0,9520000000.0,8000000000.0,8000000000.0,38006200000.0,37933200000.0,8880000000.0,9520000000.0,10144000000.0,15396000000.0,14120000000.0,13800000000.0,13600000000.0,13160000000.0,12400000000.0,26176000000.0,20940000000.0,19884000000.0,19432000000.0,18380000000.0,18888000000.0
EMT5 d200 pre5,4920000000.0,2440000000.0,0.0,1280000000.0,680000000.0,2520000000.0,1480000000.0,7080000000.0,5560000000.0,5560000000.0,40446200000.0,40373200000.0,11320000000.0,11960000000.0,12584000000.0,17836000000.0,16560000000.0,16240000000.0,16040000000.0,15600000000.0,14840000000.0,28616000000.0,23380000000.0,22324000000.0,21872000000.0,20820000000.0,21328000000.0
EMT3 d200,3640000000.0,1160000000.0,1280000000.0,0.0,600000000.0,3800000000.0,2760000000.0,8360000000.0,6840000000.0,6840000000.0,39166200000.0,39093200000.0,10040000000.0,10680000000.0,11304000000.0,16556000000.0,15280000000.0,14960000000.0,14760000000.0,14320000000.0,13560000000.0,27336000000.0,22100000000.0,21044000000.0,20592000000.0,19540000000.0,20048000000.0
MPC 28 No stretch d200,4240000000.0,1760000000.0,680000000.0,600000000.0,0.0,3200000000.0,2160000000.0,7760000000.0,6240000000.0,6240000000.0,39766200000.0,39693200000.0,10640000000.0,11280000000.0,11904000000.0,17156000000.0,15880000000.0,15560000000.0,15360000000.0,14920000000.0,14160000000.0,27936000000.0,22700000000.0,21644000000.0,21192000000.0,20140000000.0,20648000000.0
EMT1 d200 pre1,7440000000.0,4960000000.0,2520000000.0,3800000000.0,3200000000.0,0.0,1040000000.0,4560000000.0,3040000000.0,3040000000.0,42966200000.0,42893200000.0,13840000000.0,14480000000.0,15104000000.0,20356000000.0,19080000000.0,18760000000.0,18560000000.0,18120000000.0,17360000000.0,31136000000.0,25900000000.0,24844000000.0,24392000000.0,23340000000.0,23848000000.0
Milieu diff MPC28 NS 3 (D6) d200,6400000000.0,3920000000.0,1480000000.0,2760000000.0,2160000000.0,1040000000.0,0.0,5600000000.0,4080000000.0,4080000000.0,41926200000.0,41853200000.0,12800000000.0,13440000000.0,14064000000.0,19316000000.0,18040000000.0,17720000000.0,17520000000.0,17080000000.0,16320000000.0,30096000000.0,24860000000.0,23804000000.0,23352000000.0,22300000000.0,22808000000.0
EMT4 d200 pre4,12000000000.0,9520000000.0,7080000000.0,8360000000.0,7760000000.0,4560000000.0,5600000000.0,0.0,1520000000.0,1520000000.0,47526200000.0,47453200000.0,18400000000.0,19040000000.0,19664000000.0,24916000000.0,23640000000.0,23320000000.0,23120000000.0,22680000000.0,21920000000.0,35696000000.0,30460000000.0,29404000000.0,28952000000.0,27900000000.0,28408000000.0
EMT2 d200 pre2,10480000000.0,8000000000.0,5560000000.0,6840000000.0,6240000000.0,3040000000.0,4080000000.0,1520000000.0,0.0,0.0,46006200000.0,45933200000.0,16880000000.0,17520000000.0,18144000000.0,23396000000.0,22120000000.0,21800000000.0,21600000000.0,21160000000.0,20400000000.0,34176000000.0,28940000000.0,27884000000.0,27432000000.0,26380000000.0,26888000000.0
Milieu diff MPC28 S+E 2 (D6) d200,10480000000.0,8000000000.0,5560000000.0,6840000000.0,6240000000.0,3040000000.0,4080000000.0,1520000000.0,0.0,0.0,46006200000.0,45933200000.0,16880000000.0,17520000000.0,18144000000.0,23396000000.0,22120000000.0,21800000000.0,21600000000.0,21160000000.0,20400000000.0,34176000000.0,28940000000.0,27884000000.0,27432000000.0,26380000000.0,26888000000.0
