,name,dilution,particles per frame
0,20210401 EMT1 d20,20,"90.8, 117.3, 134.6, 120.9, 133.2"
1,EMT1 d200 pre1,200,"22.7, 25.2, 20.1, 22.0, 21.6"
2,EMT2 d200 pre2,200,"26.4, 24.0, 25.5, 22.9, 23.1"
3,EMT3 d200,200,"19.5, 24.3, 24.0, 18.7, 25.0"
4,EMT3 d200 pre3,200,"10.2, 10.2, 9.4, 11.1, 10.8"
5,EMT4 d200 pre4,200,"25.4, 22.1, 25.5, 23.2, 23.3"
6,EMT5 d200 pre5,200,"23.8, 19.5, 19.9, 23.3, 22.6"
7,MPC 28 No stretch d200,200,"22.7, 20.7, 18.9, 19.4, 20.7"
8,MPC 28 Stretch + exercice d200,200,"5.9, 16.9, 14.5, 9.1, 8.2"
9,MPC 28 Stretch d200,200,"0.0, 16.4, 17.5, 17.0, 12.6"
10,MPC28 No Stretch d200,200,"27.9, 25.7, 21.6, 21.8, 29.8"
11,MPC28 Stretch + exercice d200,200,"14.2, 14.5, 21.1, 15.8, 20.1"
12,MPC28 Stretch d200,200,"13.5, 14.7, 21.3, 18.8, 21.7"
13,Milieu diff 0302 NS d200,200,"13.7, 13.1, 12.9, 14.9, 14.3"
14,Milieu diff 0302 S+E d200,200,"10.1, 9.6, 8.6, 12.0, 12.6"
15,Milieu diff MPC28 NS (D6) d200,200,"16.8, 13.4, 16.8, 17.0, 14.6"
16,Milieu diff MPC28 NS 2 (D6) d200,200,"16.0, 15.5, 15.4, 12.8, 15.5"
17,Milieu diff MPC28 NS 3 (D6) d200,200,"26.6, 26.6, 25.9, 26.2, 26.5"
18,Milieu diff MPC28 NS d200,200,"15.7, 13.6, 10.6, 12.8, 11.8"
19,Milieu diff MPC28 S (D6) d200,200,"21.0, 21.2, 13.8, 7.9, 20.8"
20,Milieu diff MPC28 S 2 (D6),Not found,"19.4, 18.3, 18.0, 17.9, 18.2"
21,Milieu diff MPC28 S 3 (D6) d200,200,"15.3, 14.1, 13.8, 14.9, 16.1"
22,Milieu diff MPC28 S+E (D6) d200,200,"18.9, 21.7, 22.7, 24.6, 22.6"
23,Milieu diff MPC28 S+E 2 (D6) d200,200,"30.9, 27.8, 29.3, 32.9, 34.9"
24,Milieu diff MPC28 S+E 3 (D6),Not found,"33.1, 28.8, 27.2, 34.8, 31.5"
25,Milieu diff MPC28 S+E d200,200,"11.4, 10.2, 9.5, 10.7, 10.6"
26,Milieu diff d200,200,"10.4, 7.7, 6.4, 7.1, 5.6"
